Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	54	5	29
1	52	3	29
2	50	3	29
3	4	28	52
4	3	28	52
5	5	28	52
6	54	5	29
7	3	29	53
8	3	28	52
9	5	29	52
10	32	54	7
11	26	51	4
12	5	29	53
13	5	29	53
14	26	51	5
15	3	28	52
16	5	28	52
17	3	28	50
18	50	3	29
19	5	29	53
20	5	29	53
21	5	28	52
22	54	5	29
23	28	53	6
24	26	52	5
25	31	53	5
26	5	29	52
27	54	5	29
28	26	52	5
29	54	5	28
30	5	29	53
31	28	54	7
32	49	3	28
33	28	54	7
34	26	52	5
35	5	28	52
36	33	55	7
37	31	53	5
38	54	5	29
39	5	29	52
40	50	3	29
41	54	5	29
42	5	29	53
43	3	29	53
44	28	54	7
45	5	28	52
46	28	53	6
47	26	51	4
48	30	52	5
49	31	53	7
50	30	52	4
51	52	5	31
52	50	3	28
53	5	29	53
54	3	29	52
55	30	52	5
56	5	29	53
57	50	3	28
58	26	52	5
59	26	51	5
60	5	29	53
61	26	51	5
62	55	5	31
63	30	52	4
64	30	52	6
65	28	54	7
66	5	29	53
67	54	5	29
68	31	53	7
69	31	52	5
70	54	5	30
71	54	5	29
72	54	5	29
73	31	53	5
74	31	53	7
75	5	30	54
76	31	53	5
77	5	30	52
78	5	31	53
79	54	5	30
80	28	54	7
81	54	5	30
82	31	53	5
83	54	5	29
84	3	28	52
85	5	28	52
86	5	29	53
87	3	29	53
88	54	5	28
89	54	5	29
90	54	5	28
91	28	53	6
92	3	29	53
93	5	29	53
94	49	3	28
95	31	52	5
96	26	52	5
97	54	5	29
98	54	5	29
99	30	52	4
100	5	31	53
101	31	52	5
102	50	3	29
103	52	5	31
104	55	5	29
105	5	30	52
106	54	5	28
107	5	28	52
108	31	53	5
109	30	52	5
110	31	53	7
111	50	3	29
112	52	5	30
113	31	53	5
114	5	31	55
115	28	53	6
116	5	29	52
117	54	5	29
118	3	29	52
119	30	52	4
120	28	53	7
121	30	52	6
122	54	5	28
123	30	52	5
124	3	28	52
125	54	5	30
126	31	52	5
127	31	53	7
128	5	29	52
129	55	5	29
130	5	29	52
131	26	51	4
132	28	53	7
133	5	29	53
134	54	5	28
135	50	3	29
136	30	52	7
137	50	3	29
138	31	53	5
139	28	53	7
140	52	5	31
141	5	31	53
142	5	29	53
143	28	54	7
144	28	54	7
145	5	28	52
146	30	52	5
147	54	5	28
148	30	52	4
149	5	28	52
150	4	30	52
151	5	31	53
152	31	53	5
153	5	29	52
154	54	5	29
155	5	29	52
156	3	28	52
157	5	29	52
158	3	29	52
159	54	4	28
160	50	3	29
161	30	52	4
162	3	28	52
163	28	54	7
164	3	28	52
165	54	5	30
166	31	53	5
167	5	29	52
168	28	53	6
169	3	29	53
170	5	29	53
171	30	52	7
172	54	5	29
173	5	29	53
174	31	52	5
175	28	54	7
176	28	54	7
177	54	5	29
178	30	52	7
179	3	29	52
180	30	52	7
181	30	52	5
182	5	30	52
183	54	5	28
184	50	3	29
185	5	29	52
186	49	3	28
187	31	52	7
188	50	3	29
189	31	53	7
190	50	3	29
191	4	30	52
192	3	28	52
193	28	54	7
194	54	3	28
195	30	52	4
196	30	52	5
197	30	52	5
198	50	5	28
199	52	5	31
200	31	53	7
201	31	53	5
202	55	5	29
203	3	28	52
204	5	29	52
205	51	4	30
206	31	53	7
207	31	53	5
208	55	5	29
209	54	4	30
210	5	29	53
211	31	53	7
212	31	52	5
213	5	31	54
214	54	5	29
215	54	5	31
216	5	29	52
217	31	53	5
218	28	53	6
219	28	54	7
220	4	28	52
221	5	31	53
222	5	31	53
223	5	30	52
224	5	29	53
225	5	30	52
226	28	54	7
227	54	5	31
228	50	3	29
229	5	29	52
230	50	3	28
231	30	52	7
232	30	52	5
233	54	5	29
234	55	5	31
235	3	29	53
236	54	5	29
237	54	5	30
238	54	5	29
239	5	29	53
240	50	3	28
241	50	3	28
242	52	3	28
243	30	52	4
244	5	31	53
245	50	3	29
246	52	5	31
247	28	54	7
248	54	5	30
249	26	52	5
250	54	5	29
251	5	29	53
252	55	5	29
253	3	29	53
254	54	5	28
255	3	28	52
256	3	29	51
257	5	28	52
258	30	52	5
259	5	31	52
260	31	53	5
261	54	5	29
262	30	52	6
263	55	5	29
264	4	28	52
265	30	52	4
266	5	29	52
267	52	5	31
268	50	3	29
269	30	52	6
270	30	52	4
271	54	5	28
272	28	53	6
273	30	52	4
274	50	3	29
275	50	3	29
276	54	5	28
277	26	52	5
278	26	52	5
279	28	53	6
280	3	28	52
281	31	53	7
282	30	52	6
283	30	52	5
284	55	5	29
285	55	5	29
286	5	29	52
287	5	29	53
288	5	28	52
289	31	53	5
290	30	52	6
291	5	28	52
292	5	29	53
293	5	31	55
294	54	5	29
295	3	28	52
296	31	53	7
297	54	5	29
298	30	52	5
299	3	28	52
300	5	31	53
301	31	53	7
302	54	5	29
303	54	5	28
304	5	28	52
305	30	52	5
306	3	29	53
307	52	5	31
308	5	29	52
309	31	53	5
310	31	53	7
311	28	54	7
312	50	3	28
313	50	3	29
314	50	3	29
315	28	54	7
316	5	31	53
317	50	3	29
318	5	29	52
319	55	5	31
320	3	29	52
321	3	29	53
322	28	54	7
323	3	29	52
324	31	53	7
325	54	4	28
326	31	53	5
327	30	52	5
328	28	53	6
329	5	31	53
330	54	5	28
331	55	5	29
332	3	29	53
333	3	28	52
334	52	5	31
335	54	5	29
336	3	28	52
337	31	53	5
338	30	52	6
339	50	5	29
340	53	3	29
341	5	29	53
342	5	29	52
343	54	5	30
