Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	38	62	3
1	38	61	14
2	40	61	14
3	38	61	14
4	38	62	15
5	38	62	14
6	38	62	14
7	38	61	14
8	38	62	15
9	38	62	14
10	38	62	15
11	38	62	14
12	40	62	14
13	38	62	14
14	38	60	15
15	38	62	14
16	38	61	14
17	38	62	14
18	38	62	15
19	38	62	14
20	38	62	14
21	38	62	14
22	38	62	14
23	38	62	14
24	38	62	14
25	38	62	15
26	38	62	14
27	38	61	14
28	38	62	15
29	38	62	14
30	38	62	14
31	38	62	14
32	38	62	14
33	38	62	14
34	38	61	14
35	38	61	14
36	38	62	14
37	38	62	14
38	38	62	14
39	38	62	15
40	38	62	15
41	38	62	14
42	38	61	14
43	38	62	14
44	38	61	14
45	38	61	14
46	38	62	15
47	38	62	15
48	38	61	14
49	38	62	15
50	38	61	14
51	38	62	14
52	40	62	14
53	38	62	15
54	38	62	15
55	38	62	14
56	38	62	15
57	38	62	14
58	38	62	14
59	38	62	15
60	38	61	14
61	38	62	14
62	38	62	14
63	38	61	14
64	38	61	14
65	38	61	14
66	38	62	14
67	38	62	14
68	38	62	14
69	38	62	15
70	38	62	14
71	38	61	14
72	38	62	14
73	38	62	14
74	38	62	15
75	38	61	14
76	38	62	15
77	38	62	14
78	38	62	14
79	38	62	14
80	38	62	14
81	38	62	14
82	38	62	14
83	38	62	14
84	38	61	14
85	38	62	15
86	38	61	14
87	38	61	14
88	38	62	15
89	38	62	14
90	38	62	14
91	38	61	14
92	38	61	14
93	38	62	14
94	38	61	14
95	38	62	14
96	38	62	14
97	38	61	14
98	38	61	14
99	38	61	14
100	38	62	14
101	38	62	14
102	38	62	15
103	38	62	15
104	38	61	14
105	38	62	14
106	38	62	15
107	38	62	15
108	38	62	14
109	38	62	14
110	38	62	14
111	38	62	14
112	38	62	14
113	38	62	15
114	38	62	14
115	38	61	14
116	38	62	14
117	38	62	15
118	38	62	14
119	38	62	15
120	38	61	14
121	38	61	14
122	38	62	14
123	38	62	14
124	38	62	15
125	38	62	14
126	38	62	14
127	38	62	14
128	38	61	14
129	38	62	15
130	38	62	14
131	38	61	14
132	38	62	14
133	38	62	15
134	38	61	14
135	38	62	14
136	38	62	15
137	38	62	15
138	38	62	14
139	38	62	14
140	38	62	15
141	38	62	14
142	38	62	15
143	38	61	14
144	38	61	14
145	38	62	14
146	38	61	14
147	38	62	14
148	38	61	14
149	38	62	14
150	38	62	15
151	38	62	15
152	38	61	14
153	38	62	14
154	38	62	15
155	38	61	14
156	38	62	14
157	38	62	14
158	38	62	15
159	38	62	14
160	38	62	14
161	38	62	14
162	38	62	14
163	38	62	14
164	38	62	14
165	38	62	15
166	38	62	15
167	38	62	14
168	38	62	14
169	38	62	14
170	38	62	15
171	38	62	14
172	38	61	14
173	38	62	14
174	38	62	15
175	38	62	15
176	38	62	14
177	38	62	15
178	38	62	14
179	38	62	14
180	38	62	14
181	38	62	14
182	38	62	14
183	38	62	15
184	38	62	14
185	38	61	14
186	38	62	14
187	38	62	14
188	38	62	14
189	38	62	14
190	38	62	15
191	38	62	14
192	38	61	14
193	38	62	14
194	38	62	14
195	38	62	15
196	38	61	14
197	38	62	15
198	38	61	14
199	38	62	14
200	38	62	14
201	38	61	14
202	38	62	15
203	38	61	14
204	38	62	14
205	38	62	14
206	38	62	14
207	38	62	14
208	38	62	14
209	38	62	15
210	38	61	14
211	38	62	14
212	38	62	14
213	38	62	14
214	38	62	15
215	38	61	14
216	38	62	14
217	38	62	14
218	38	62	15
219	38	62	15
220	38	62	14
221	38	62	15
222	38	61	14
223	38	62	15
224	38	62	14
225	38	62	15
226	38	62	14
227	38	62	14
228	38	62	15
229	38	62	15
230	38	62	15
231	38	62	14
232	38	62	15
233	38	62	14
234	38	62	15
235	38	62	15
236	38	62	15
237	38	62	14
238	38	61	14
239	38	61	14
240	38	62	14
241	38	61	14
242	38	62	14
243	38	62	14
244	38	61	14
245	38	61	14
246	38	62	14
247	38	62	15
248	38	62	15
249	38	62	14
250	38	62	15
251	38	62	15
252	38	61	14
253	38	62	15
254	38	62	14
255	38	62	14
256	40	62	14
257	38	62	15
258	38	62	14
259	38	61	14
260	38	61	14
261	38	62	15
262	38	61	14
263	38	62	14
264	38	62	14
265	38	62	14
266	38	62	14
267	38	62	14
268	38	62	14
269	38	62	15
270	38	62	14
271	38	62	14
