Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	45	69	24
1	45	69	24
2	44	68	23
3	45	69	24
4	24	48	70
5	22	48	69
6	45	69	24
7	44	68	23
8	67	24	47
9	45	68	23
10	44	68	23
11	24	47	69
12	45	69	24
13	67	23	47
14	21	47	69
15	45	69	24
16	45	69	24
17	67	22	48
18	24	48	70
19	67	22	48
20	66	21	47
21	67	23	47
22	21	47	69
23	45	68	23
24	24	48	70
25	21	47	69
26	24	48	70
27	22	48	70
28	45	69	24
29	66	23	47
30	45	69	24
31	67	22	47
32	45	69	24
33	67	24	47
34	23	47	69
35	22	48	69
36	67	22	48
37	24	48	69
38	45	68	23
39	67	24	48
40	67	22	47
41	22	48	70
42	67	22	47
43	67	22	47
44	45	69	24
45	45	69	24
46	45	70	23
47	67	24	48
48	22	48	69
49	67	24	47
50	45	69	24
51	67	22	48
52	23	47	69
53	23	47	69
54	45	68	23
55	45	69	24
56	24	48	70
57	21	47	69
58	45	69	24
59	45	70	23
60	67	23	47
61	24	48	69
62	67	22	47
63	24	48	69
64	24	47	69
65	67	22	48
66	67	24	47
67	22	47	69
68	23	47	69
69	22	48	70
70	45	69	24
71	45	69	24
72	22	47	69
73	22	47	69
74	67	22	47
75	45	69	24
76	67	22	47
77	67	22	47
78	45	68	23
79	24	48	69
80	67	24	48
81	23	47	69
82	23	47	69
83	45	69	24
84	44	68	23
85	45	69	24
86	67	22	48
87	22	48	70
88	44	68	23
89	22	47	69
90	67	22	47
91	22	48	70
92	22	48	70
93	21	47	69
94	44	68	23
95	21	47	69
96	24	47	69
97	45	69	24
98	45	69	24
99	45	69	24
100	67	22	48
101	67	24	48
102	44	66	23
103	67	22	48
104	45	69	24
105	67	22	47
106	67	24	47
107	45	68	23
108	22	47	69
109	45	69	24
110	22	47	69
111	44	68	23
112	23	47	69
113	45	69	24
114	23	47	69
115	44	68	23
116	67	23	47
117	66	23	47
118	23	47	69
119	67	24	47
120	67	24	48
121	22	48	70
122	24	48	70
123	23	47	69
124	45	71	24
125	67	22	47
126	66	23	47
127	67	22	47
128	44	68	23
129	45	70	23
130	45	69	24
131	45	66	24
132	45	69	24
133	24	48	70
134	24	48	70
135	23	47	69
136	45	69	24
137	44	68	23
138	66	23	47
139	67	24	48
140	67	24	47
141	45	69	24
142	45	69	24
143	66	23	47
144	22	48	70
145	45	68	23
146	22	47	69
147	67	24	48
148	67	24	47
149	45	66	24
150	22	48	69
151	45	69	24
152	67	22	48
153	24	48	70
154	22	47	69
155	45	69	24
156	22	48	69
157	45	69	24
158	45	69	24
159	66	21	47
160	45	69	24
161	45	69	24
162	45	69	24
163	44	68	23
164	24	47	69
165	21	47	69
166	67	24	48
167	23	47	69
168	23	47	69
169	45	69	24
170	24	48	69
171	45	69	24
172	22	48	70
173	67	24	48
174	44	68	23
175	24	47	69
176	45	68	23
177	67	24	47
178	67	22	48
179	22	48	70
180	45	69	41
181	67	23	47
182	67	22	48
183	44	68	23
184	22	48	70
185	45	68	23
186	67	22	48
187	22	47	69
188	67	22	48
189	22	48	70
190	67	24	48
191	67	22	48
192	22	47	69
193	45	68	23
194	67	24	47
195	22	48	70
196	45	69	24
197	45	69	24
198	66	23	47
199	45	69	24
200	45	69	24
201	67	22	48
202	67	24	48
203	45	66	23
204	67	22	48
205	45	69	24
206	24	48	69
207	66	21	47
208	45	68	23
209	67	22	48
210	23	47	69
211	45	69	24
212	66	23	47
213	45	69	24
214	44	68	23
215	45	69	24
216	45	69	24
217	24	47	69
218	66	21	47
219	67	24	47
220	24	48	70
221	23	47	69
222	24	47	69
223	44	68	23
224	45	69	24
225	24	47	69
226	22	47	69
227	23	47	69
228	44	68	23
229	67	24	47
230	67	24	47
231	45	69	24
232	45	68	23
233	21	47	69
234	23	47	69
235	66	23	47
236	66	23	47
237	67	22	48
238	45	69	24
239	45	68	23
240	66	23	47
241	45	69	24
242	45	69	24
243	45	68	23
244	45	69	24
245	45	68	23
246	66	23	47
247	44	68	23
248	67	24	48
249	44	68	23
250	67	24	48
251	21	47	69
252	24	48	69
253	23	47	69
254	67	22	48
255	22	48	70
256	67	22	47
257	45	71	24
258	45	68	23
259	66	23	47
260	22	48	70
261	45	67	24
262	45	69	24
263	67	22	48
264	22	47	69
265	45	69	24
266	24	47	69
267	67	24	48
268	45	69	24
269	67	23	47
270	67	22	47
271	45	69	24
272	45	69	24
273	66	23	47
274	45	68	23
275	66	21	47
276	67	24	48
277	22	47	69
278	67	24	48
279	67	22	47
280	45	68	23
281	67	24	47
282	45	66	23
283	24	48	70
284	23	47	69
285	45	69	24
286	24	47	69
287	24	48	70
288	24	47	69
289	22	48	69
290	67	22	47
291	45	69	24
292	45	69	24
293	67	23	47
294	24	48	69
295	67	22	48
296	23	47	69
297	45	69	24
298	22	47	69
299	45	69	24
300	67	22	48
301	45	69	24
302	67	22	47
303	67	24	48
304	23	47	69
305	45	69	24
306	22	47	69
307	23	47	69
308	22	47	69
309	45	69	24
310	66	21	47
311	67	24	48
312	44	68	23
313	23	47	69
314	24	48	69
315	24	48	69
316	22	48	70
317	24	48	69
318	21	47	69
319	24	48	69
320	22	48	70
321	22	48	70
322	44	66	23
323	45	69	24
324	45	68	23
325	24	48	70
326	67	24	48
327	44	66	23
328	24	48	70
329	67	24	47
330	66	21	47
331	45	69	24
332	67	22	48
333	45	68	23
334	21	47	69
335	45	66	24
336	24	47	69
337	24	48	69
338	66	23	47
339	45	69	24
340	67	22	47
341	67	24	48
342	67	22	47
343	24	48	70
344	66	23	47
345	45	66	24
346	44	68	23
347	23	47	69
348	67	24	48
349	22	47	69
350	45	66	24
351	24	47	69
352	21	47	69
353	23	47	69
354	66	21	47
355	45	69	24
356	67	24	48
357	23	47	69
358	67	24	48
359	67	22	47
360	24	47	69
361	67	22	48
362	23	47	69
363	45	69	24
364	24	48	70
365	67	22	47
366	23	47	69
367	67	22	48
368	45	68	23
369	66	23	47
370	67	24	47
371	67	22	48
372	67	24	47
373	66	23	47
374	21	47	69
375	22	47	69
376	66	21	47
377	22	48	70
378	22	47	69
379	67	22	48
380	44	68	23
381	24	48	69
382	24	47	69
383	67	22	48
384	23	47	69
385	67	24	47
386	44	66	23
387	66	23	47
388	23	47	69
389	66	21	47
390	44	68	23
391	22	47	69
392	45	68	23
393	45	69	24
394	45	68	23
395	45	68	23
396	45	68	23
397	45	69	24
398	22	48	70
399	66	23	47
400	45	71	24
401	67	24	48
402	66	23	47
403	45	69	24
404	67	22	47
405	24	48	70
406	24	48	70
407	24	48	69
408	45	70	23
409	66	23	47
410	22	47	69
411	45	68	23
412	45	67	24
413	66	23	47
414	23	47	69
415	67	24	48
416	67	24	48
417	45	69	24
418	67	24	47
419	22	47	69
420	45	66	24
421	21	47	69
422	67	24	48
423	22	47	69
424	67	22	47
425	45	68	23
426	23	47	69
427	45	69	24
428	67	22	48
429	45	69	24
430	45	69	24
431	67	24	47
432	45	69	24
433	67	24	48
434	22	48	70
435	23	47	69
436	67	23	47
437	24	48	69
438	22	48	69
439	22	47	69
440	67	22	47
441	21	47	69
442	23	47	69
443	66	23	47
444	45	69	24
445	67	22	47
446	44	68	23
447	66	21	47
448	44	68	23
449	66	23	47
450	22	48	70
451	66	23	47
452	44	68	23
453	45	69	24
454	24	47	69
455	66	23	47
456	24	48	70
457	67	22	47
458	22	47	69
459	45	69	24
460	66	21	47
461	22	48	69
462	44	68	23
463	45	68	23
464	45	69	24
465	45	69	24
466	67	22	47
467	21	47	69
468	67	24	48
469	67	22	48
470	23	47	69
471	45	68	23
472	45	69	24
473	67	24	47
474	45	69	24
475	24	48	70
476	24	47	69
477	22	48	70
478	66	21	47
479	66	21	47
480	23	47	69
481	44	68	23
482	21	47	69
483	22	47	69
484	22	48	70
485	45	66	24
486	23	47	69
487	67	24	48
488	45	68	23
489	22	48	70
490	45	69	24
491	67	24	48
492	23	47	69
493	45	68	23
494	21	47	69
495	23	47	69
496	66	23	47
497	66	23	47
498	45	66	24
499	67	24	48
500	44	68	23
501	24	47	69
502	23	47	69
503	24	47	69
504	24	48	70
505	44	68	23
506	22	47	69
507	67	22	48
508	21	47	69
509	67	24	48
510	24	48	70
511	24	47	69
512	44	68	23
513	45	66	24
514	67	22	47
515	67	24	47
516	45	69	24
517	67	22	48
518	66	21	47
519	45	69	24
520	24	48	70
521	22	47	69
522	45	69	24
523	66	23	47
524	24	47	69
525	45	71	24
526	21	47	69
527	45	69	24
528	45	69	24
529	23	47	69
530	67	22	47
531	24	47	69
532	45	69	24
533	67	24	48
534	45	69	24
535	22	48	69
536	44	68	23
537	22	48	70
538	24	48	70
539	45	67	24
540	45	69	24
541	45	69	24
542	67	22	48
543	67	22	48
544	67	22	48
545	45	69	24
546	67	24	48
547	24	47	69
548	23	47	69
549	45	66	23
550	22	47	69
551	67	23	47
552	66	23	47
553	45	69	24
554	45	67	24
555	67	22	48
556	67	24	47
557	24	48	69
558	21	47	69
559	67	24	48
560	45	69	24
561	22	47	69
562	67	22	47
563	21	47	69
564	45	66	23
565	67	22	47
566	45	68	23
567	67	22	48
568	22	47	69
569	23	47	69
570	45	68	23
571	67	22	48
572	21	47	69
573	45	69	24
574	45	69	24
575	67	22	47
576	67	24	48
577	67	24	48
578	45	69	24
579	67	22	47
580	23	47	69
581	45	69	24
582	24	48	70
583	45	69	24
584	22	48	69
585	45	69	24
586	44	68	23
587	67	22	47
588	22	47	69
589	66	23	47
590	66	23	47
591	23	47	69
592	22	47	69
593	44	68	23
594	21	47	69
595	22	47	69
596	67	22	48
597	23	47	69
598	66	23	47
599	22	47	69
600	67	24	47
601	24	47	69
602	66	23	47
603	66	23	47
604	23	47	69
605	67	24	47
606	45	68	23
607	67	23	47
608	66	23	47
609	24	48	70
610	67	22	48
611	24	48	69
612	45	69	24
613	66	23	47
614	66	21	47
615	22	48	70
616	45	68	23
617	45	68	23
618	23	47	69
619	44	68	23
620	67	22	48
621	67	24	47
622	22	47	69
623	21	47	69
624	23	47	69
625	23	47	69
626	24	48	69
627	22	47	69
628	67	23	47
629	24	47	69
630	45	69	24
631	24	47	69
632	22	48	70
633	66	21	47
634	44	68	23
635	67	24	47
636	24	47	69
637	21	47	69
638	45	69	24
639	22	47	69
640	45	68	23
641	67	24	47
642	24	48	69
643	45	68	23
644	67	24	48
645	45	69	24
646	67	22	48
647	44	68	23
648	67	24	47
649	22	48	69
650	45	69	24
651	24	48	70
652	22	47	69
653	67	22	48
654	44	68	23
655	45	69	24
656	22	48	70
657	22	47	69
658	22	47	69
659	45	69	24
660	45	66	24
661	66	23	47
662	45	69	24
663	67	24	48
664	45	68	23
665	67	22	47
666	24	48	70
667	24	48	70
668	66	23	47
669	24	48	70
670	45	66	24
671	45	69	24
672	66	21	47
673	67	22	47
674	22	48	69
675	67	22	47
676	24	48	70
677	23	47	69
678	45	68	23
679	22	47	69
680	45	69	24
681	22	48	70
682	44	66	23
683	21	47	69
684	45	68	23
685	66	23	47
686	67	24	48
687	24	47	69
688	44	68	23
689	45	69	24
690	45	69	24
691	67	24	48
692	24	48	70
693	45	69	24
694	23	47	69
695	45	69	24
696	66	23	47
697	44	68	23
698	67	24	47
699	45	68	23
700	23	47	69
701	45	68	23
702	24	48	69
703	22	48	69
704	67	24	48
705	45	69	24
706	66	21	47
707	45	69	24
708	67	22	48
709	45	69	24
710	67	24	48
711	67	24	48
712	66	23	47
713	23	47	69
714	45	69	24
715	23	47	69
716	21	47	69
717	44	68	23
718	24	47	69
719	45	69	24
720	24	48	70
721	67	24	47
722	67	24	48
723	67	24	48
724	22	47	69
725	67	22	48
726	67	24	47
727	24	47	69
728	45	69	24
729	22	48	70
730	45	68	23
731	22	47	69
732	67	24	47
733	67	24	47
734	66	23	47
735	24	48	69
736	45	69	24
737	45	68	23
738	24	48	70
739	22	47	69
740	67	22	47
741	21	47	69
742	45	69	24
743	24	48	69
744	45	69	24
745	67	22	48
746	24	48	69
747	45	68	23
748	66	23	47
749	22	48	69
750	45	69	24
751	67	24	47
752	67	24	48
