Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	185	141	3
1	45	185	23
2	45	185	24
3	185	140	164
4	45	185	23
5	24	162	186
6	45	183	24
7	45	183	24
8	45	185	24
9	23	162	187
10	45	183	23
11	24	162	188
12	45	185	23
13	22	162	185
14	23	161	187
15	45	183	24
16	185	140	166
17	22	162	187
18	45	185	24
19	24	162	186
20	183	139	163
21	185	140	165
22	23	161	187
23	183	140	164
24	22	162	185
25	185	140	164
26	23	161	187
27	22	162	188
28	45	185	24
29	183	140	164
30	44	183	23
31	185	140	163
32	22	162	186
33	185	140	166
34	23	161	185
35	45	185	24
36	185	140	164
37	44	183	23
38	21	161	185
39	183	140	163
40	185	140	164
41	45	185	24
42	45	185	23
43	45	185	23
44	21	161	185
45	21	161	185
46	184	139	165
47	185	140	165
48	185	140	164
49	45	185	23
50	21	161	185
51	185	140	163
52	45	185	24
53	184	139	165
54	185	140	166
55	45	185	24
56	21	161	187
57	183	140	164
58	22	162	188
59	185	140	165
60	24	162	188
61	45	185	24
62	185	140	166
63	45	185	24
64	45	185	24
65	45	185	24
66	45	183	24
67	185	140	165
68	24	162	188
69	23	161	187
70	45	185	23
71	22	162	186
72	45	185	24
73	45	185	23
74	185	140	165
75	185	140	163
76	45	185	24
77	185	140	165
78	44	184	23
79	185	140	164
80	22	162	188
81	45	185	24
82	24	162	186
83	45	185	23
84	22	162	188
85	185	140	164
86	23	161	187
87	22	162	187
88	23	161	187
89	45	183	24
90	45	185	24
91	185	140	164
92	22	162	186
93	45	185	24
94	45	185	24
95	45	185	24
96	184	139	163
97	185	140	164
98	22	162	185
99	185	140	164
100	22	162	188
101	22	162	187
102	45	185	24
103	22	162	186
104	45	185	23
105	21	161	185
106	21	161	187
107	183	140	164
108	185	140	164
109	45	185	24
110	185	140	164
111	185	140	165
112	21	161	185
113	185	140	166
114	24	162	186
115	23	161	185
116	22	162	186
117	22	162	186
118	45	183	24
119	185	140	164
120	23	162	187
121	45	185	24
122	45	185	24
123	185	140	164
124	45	185	24
125	24	162	186
126	45	185	23
127	185	140	166
128	185	140	164
129	185	140	163
130	23	161	187
131	24	162	187
132	24	162	187
133	184	139	163
134	24	162	188
135	45	185	24
136	45	185	23
137	185	140	166
138	45	185	24
139	45	183	24
140	185	140	166
141	45	185	24
142	45	183	24
143	184	139	165
144	23	161	187
145	22	162	186
146	185	140	163
147	185	140	165
148	183	140	164
149	45	185	24
150	185	140	165
151	21	161	187
152	24	162	188
153	45	183	24
154	24	162	188
155	185	140	166
156	185	140	166
157	45	185	24
158	45	185	24
159	45	185	23
160	185	140	164
161	24	162	188
162	45	185	24
163	23	161	187
164	185	140	166
165	45	185	24
166	44	184	23
167	185	140	165
168	185	140	164
169	22	162	186
170	185	140	166
171	24	162	187
172	45	185	24
173	45	185	23
174	22	162	185
175	45	185	23
176	45	183	24
177	22	162	185
178	45	185	24
179	22	162	187
180	22	162	187
181	23	161	187
182	22	162	187
183	183	140	164
184	22	162	188
185	45	185	23
186	45	183	24
187	23	161	185
188	22	162	187
189	24	162	187
190	185	140	166
191	22	162	186
192	185	140	166
193	23	162	187
194	185	140	163
