Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	11	155	3
1	13	154	180
2	13	155	180
3	12	154	180
4	12	154	180
5	13	155	180
6	12	154	180
7	12	154	180
8	12	154	180
9	13	155	180
10	12	154	180
11	12	154	179
12	12	154	180
13	12	154	180
14	13	155	180
15	12	154	180
16	13	154	180
17	13	155	180
18	12	154	179
19	12	154	180
20	12	154	179
21	12	154	180
22	12	154	180
23	12	154	180
24	13	155	180
25	13	155	180
26	12	154	180
27	12	154	180
28	13	155	180
29	13	154	180
30	13	154	180
31	13	155	180
32	13	155	180
33	13	154	180
34	13	155	180
35	12	154	180
36	13	155	180
37	13	154	180
38	13	154	180
39	12	154	180
40	12	154	179
41	12	154	180
42	12	154	180
43	12	154	180
44	13	155	180
45	13	155	180
46	12	154	180
47	13	154	180
48	13	154	180
49	12	154	179
50	12	154	180
51	12	154	180
52	12	154	179
53	13	154	180
54	12	154	180
55	13	154	180
56	12	154	180
57	13	155	180
58	12	154	180
59	12	154	180
60	13	154	180
61	12	154	180
62	12	154	180
63	12	154	180
64	13	154	180
65	12	154	180
66	12	154	179
67	12	154	180
68	13	155	180
69	12	154	180
70	12	154	180
71	12	154	180
72	13	155	180
73	12	154	179
74	12	154	180
75	12	154	180
76	13	154	180
77	12	154	180
78	12	154	179
79	12	154	180
80	13	154	180
81	13	155	180
82	12	154	180
83	12	154	180
84	12	154	180
85	12	154	180
86	13	155	180
87	12	154	179
88	13	154	180
89	12	154	180
90	13	155	180
91	13	155	180
92	13	154	180
93	13	155	180
94	12	154	179
95	12	154	180
96	12	154	180
97	12	154	180
98	12	154	180
99	12	154	180
100	12	154	179
101	13	154	180
102	12	154	180
103	13	154	180
104	13	154	180
105	13	155	180
106	13	155	180
107	13	155	180
108	13	155	180
109	13	154	180
110	12	154	180
111	12	154	180
112	12	154	180
113	12	154	180
114	12	154	180
115	12	154	180
116	12	154	180
117	13	155	180
118	12	154	179
119	12	154	180
120	12	154	180
121	13	155	180
122	13	155	180
123	13	155	180
124	13	155	180
125	13	155	180
126	13	155	180
127	12	154	180
128	13	155	180
129	13	154	180
130	13	154	180
131	13	155	180
132	12	154	179
133	12	154	179
134	13	154	180
135	12	154	180
136	12	154	180
137	13	155	180
138	13	155	180
139	12	154	180
140	12	154	179
141	12	154	180
142	12	154	180
143	12	154	180
144	12	154	180
145	12	154	180
146	13	155	180
147	12	154	179
148	12	154	180
149	12	154	179
150	13	154	180
151	12	154	180
152	13	154	180
153	12	154	179
154	12	154	179
155	13	154	180
156	13	155	180
157	12	154	180
158	12	154	180
159	13	155	180
160	12	154	180
161	13	155	180
162	12	154	180
163	12	154	180
164	12	154	179
165	13	154	180
166	12	154	180
167	12	154	179
168	12	154	180
169	12	154	179
170	12	154	180
171	12	154	180
172	12	154	180
173	13	155	180
174	12	154	180
175	12	154	179
176	13	155	180
177	13	154	180
178	13	155	180
179	12	154	180
180	12	154	180
181	12	154	179
182	12	154	180
183	12	154	180
184	13	155	180
185	12	154	179
186	12	154	180
187	12	154	180
188	13	155	180
189	13	155	180
190	12	154	180
191	12	154	180
192	12	154	180
193	13	155	180
194	12	154	180
195	13	155	180
196	13	155	180
197	13	155	180
198	13	154	180
199	12	154	180
200	12	154	180
201	12	154	180
202	13	154	180
203	12	154	180
204	13	154	180
205	12	154	180
206	13	154	180
207	12	154	180
208	12	154	179
209	12	154	180
210	12	154	180
211	13	155	180
212	13	155	180
213	12	154	180
214	12	154	180
215	13	155	180
216	12	154	180
217	13	154	180
218	12	154	180
219	12	154	180
220	12	154	180
221	12	154	180
222	12	154	179
223	12	154	180
224	12	154	179
225	13	155	180
226	12	154	180
227	12	154	180
228	12	154	180
229	12	154	180
230	12	154	179
231	12	154	180
232	12	154	180
233	12	154	180
234	13	155	180
235	12	154	180
236	13	155	180
237	12	154	180
238	13	155	180
239	12	154	180
240	12	154	180
241	13	154	180
242	12	154	180
243	12	152	180
244	12	154	180
245	12	154	180
246	12	154	180
247	12	154	180
248	12	154	180
249	12	154	180
250	13	155	180
251	13	155	180
252	12	154	179
253	12	154	180
254	13	155	180
255	12	154	180
256	13	155	180
257	13	155	180
258	13	155	180
259	12	154	180
260	13	155	180
261	12	154	180
262	12	154	180
263	13	155	180
264	12	154	180
265	12	154	179
266	12	154	179
267	13	154	180
268	12	154	180
269	12	154	179
270	13	154	180
271	12	154	180
272	13	155	180
273	12	154	179
274	12	154	180
275	13	154	180
276	12	154	180
277	13	154	180
278	12	154	180
279	12	154	180
280	12	154	180
281	12	154	180
282	12	154	180
283	12	154	180
284	12	154	180
285	13	155	180
286	13	155	180
287	12	154	180
288	12	154	179
289	13	154	180
290	13	155	180
291	13	155	180
292	12	154	180
293	12	154	180
294	13	155	180
295	12	154	180
296	13	154	180
297	13	155	180
298	13	155	180
299	12	154	180
300	12	154	180
301	12	154	180
302	12	154	180
303	12	154	180
304	12	154	180
305	12	154	180
306	13	155	180
307	12	154	180
308	13	155	180
309	13	154	180
310	13	154	180
311	12	154	180
312	13	154	180
313	13	155	180
314	12	154	180
315	13	155	180
316	12	154	179
317	12	154	180
318	12	154	180
319	12	154	179
320	12	154	180
321	12	154	180
322	12	154	180
323	13	155	180
324	13	154	180
325	13	155	180
326	12	154	180
327	13	155	180
328	13	155	180
329	13	155	180
330	13	155	180
331	13	155	180
332	12	154	180
333	12	154	180
334	12	154	180
335	13	154	180
336	12	154	179
337	12	154	180
338	12	154	180
339	12	154	180
340	12	154	180
341	13	155	180
342	13	155	180
343	12	154	180
344	12	154	180
345	13	155	180
346	12	154	180
347	12	154	180
348	12	154	179
349	12	154	180
350	13	155	180
351	12	154	180
352	12	154	180
353	13	154	180
354	12	154	180
355	12	154	179
356	12	154	179
357	12	154	180
358	12	154	180
359	12	154	179
360	12	154	180
361	13	155	180
362	12	154	179
363	12	154	180
364	12	154	180
365	13	155	180
366	12	154	180
367	12	154	180
368	13	154	180
369	12	154	180
370	12	154	179
371	13	155	180
372	13	155	180
373	12	154	180
374	12	154	180
375	12	154	180
376	13	154	180
377	12	154	179
378	13	154	180
379	12	154	179
380	13	155	180
381	13	155	180
382	12	154	180
383	13	155	180
384	12	154	180
385	12	154	180
386	13	155	180
387	12	154	180
388	12	154	179
389	13	154	180
390	13	155	180
391	12	154	179
392	12	154	180
393	12	154	180
394	12	154	180
395	13	155	180
396	13	154	180
397	12	154	180
