Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	1480	7	428
1	1079	2132	26
2	4	908	1966
3	7	825	1882
4	1301	99	248
5	954	2009	6
6	6	92	1147
7	1880	5	827
8	6	377	1434
9	2084	4	1031
10	1517	5	464
11	1562	5	511
12	439	1494	7
13	1130	5	75
14	175	1228	7
15	1207	5	156
16	5	893	1950
17	5	364	1419
18	7	644	1699
19	5	438	1495
20	5	561	1614
21	1909	5	857
22	31	226	1283
23	973	2030	6
24	5	1025	2083
25	7	711	1766
26	816	1869	7
27	503	1558	7
28	5	722	1781
29	1737	5	685
30	781	1836	5
31	135	1190	6
32	1463	5	409
33	1125	5	74
34	409	1460	5
35	736	1789	9
36	328	1382	7
37	928	1983	7
38	6	926	1980
39	1071	2122	18
40	5	981	2038
41	411	1466	7
42	208	1259	6
43	116	1169	6
44	863	1914	7
45	126	1177	5
46	1571	7	518
47	955	2008	7
48	207	1262	7
49	5	458	1511
50	715	1768	9
51	66	1118	7
52	5	209	1264
53	347	1400	87
54	1549	7	497
55	421	1472	7
56	1385	63	332
57	1118	7	67
58	786	1839	9
59	1657	5	604
60	647	1700	6
61	4	913	1968
62	583	1635	7
63	130	1181	7
64	52	338	1395
65	1743	4	692
66	5	582	1639
67	554	1607	7
68	1098	5	46
69	2017	5	964
70	1933	5	876
71	1485	5	434
72	1663	7	612
73	2093	7	1040
74	5	959	2016
75	1024	2079	7
76	5	271	1326
77	2049	4	996
78	591	1644	5
79	1992	5	938
80	1190	4	137
81	582	1637	7
82	198	1251	7
83	1984	5	932
84	5	68	1123
85	7	676	1732
86	5	66	1121
87	5	1047	2102
88	5	514	1571
89	5	508	1561
90	520	1575	7
91	1830	5	777
92	184	1237	8
93	857	1910	6
94	7	166	1221
95	1384	5	333
96	5	103	1160
97	6	201	1258
98	5	1036	2089
99	229	1282	7
100	5	936	1991
101	775	1830	7
102	5	170	1227
103	1642	4	589
104	1899	7	844
105	1466	22	413
106	1001	2054	6
107	986	2040	6
108	5	257	1312
109	178	1230	6
110	1800	5	749
111	2124	16	1073
112	1429	7	374
113	1606	5	555
114	775	1830	7
115	546	1601	7
116	1438	5	387
117	5	878	1935
118	2062	5	1011
119	5	267	1324
120	723	1774	7
121	310	1365	7
122	5	1053	2109
123	5	415	1472
124	2066	5	1011
125	1440	5	388
126	1425	5	374
127	1931	5	876
128	4	859	1916
129	1828	5	773
130	8	1063	2118
