Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	5	52	100
1	5	52	100
2	5	53	102
3	7	54	152
4	100	52	7
5	52	5	102
6	100	54	6
7	110	63	158
8	7	102	57
9	7	102	57
10	130	82	37
11	100	54	7
12	100	54	7
13	98	51	7
14	101	54	8
15	150	5	199
16	55	5	104
17	171	125	78
18	100	52	5
19	100	52	7
20	100	51	7
21	83	37	132
22	100	52	7
23	101	52	6
24	55	5	102
25	127	80	177
26	52	5	100
27	5	128	80
28	102	55	9
29	54	6	103
30	100	53	7
31	52	5	102
32	53	5	102
33	100	51	5
34	51	5	102
35	4	98	54
36	52	4	201
37	98	52	7
38	5	100	55
39	53	7	199
40	200	150	7
41	53	5	102
42	199	54	7
43	52	4	101
44	82	35	132
45	52	4	101
46	52	7	102
47	52	5	100
48	52	5	102
49	6	101	56
50	100	50	5
51	54	4	101
52	154	107	59
53	5	102	54
54	5	98	54
55	52	5	104
56	100	52	8
57	144	50	4
58	5	53	100
59	7	54	104
60	78	126	175
61	52	98	7
62	100	5	54
63	7	54	102
64	100	5	54
65	53	100	7
66	100	5	54
67	5	51	100
68	5	51	100
69	56	103	151
70	102	5	55
71	5	53	102
72	5	52	102
73	50	98	5
74	111	158	65
75	52	100	7
76	7	55	104
77	100	7	55
78	52	199	7
79	5	52	102
80	100	7	54
81	100	5	52
82	100	5	56
83	152	199	7
84	197	5	153
85	7	55	104
86	7	53	102
87	7	54	104
88	35	83	130
89	100	7	55
90	90	137	44
91	71	117	24
92	100	5	55
93	98	5	54
94	49	99	148
95	54	100	7
96	131	6	54
97	101	52	6
98	5	200	55
99	53	7	102
100	101	54	6
101	5	98	52
102	7	102	56
103	5	100	54
104	98	52	5
105	102	55	9
106	100	53	7
107	52	5	100
108	52	5	100
109	53	5	102
110	102	54	7
111	7	102	56
112	5	98	55
113	100	52	7
114	99	52	6
115	128	83	35
116	100	53	7
117	62	14	111
118	5	198	55
119	4	99	54
120	98	50	5
121	54	4	103
122	5	102	55
123	179	131	86
124	4	99	52
125	51	5	100
126	99	52	4
127	102	52	7
128	6	100	54
129	5	100	54
130	182	135	89
131	51	5	100
132	100	52	7
133	14	111	64
134	52	145	99
135	7	100	54
136	7	100	54
137	53	5	102
138	53	5	102
139	99	52	6
140	53	5	102
141	5	100	54
142	53	5	153
143	5	53	100
144	199	5	54
145	5	52	100
146	6	54	103
147	197	5	54
148	6	144	97
149	52	5	199
150	55	5	104
151	152	5	199
152	100	53	7
153	6	199	56
154	53	5	102
155	98	51	7
156	22	117	73
157	40	135	90
158	52	7	102
159	54	6	103
160	107	60	14
161	5	197	54
162	198	51	7
163	5	102	54
164	53	5	102
165	54	6	103
166	158	112	65
167	5	100	54
168	5	100	54
169	5	98	53
170	52	5	101
171	98	53	7
172	150	104	199
173	53	5	100
174	102	55	7
175	52	5	104
176	100	53	7
177	5	100	54
178	102	52	7
179	53	5	104
180	135	88	42
181	5	102	56
182	138	89	186
183	81	5	132
184	199	152	7
185	5	98	52
186	16	109	64
187	7	151	56
188	53	100	7
189	5	52	102
190	52	100	7
191	47	96	143
192	52	100	8
193	102	7	56
194	115	22	69
195	132	5	53
196	5	195	52
197	53	5	151
198	53	100	7
199	5	50	197
200	102	5	54
201	53	100	7
202	52	147	7
203	198	150	7
204	100	52	6
205	98	51	7
206	5	100	55
207	24	119	71
208	52	4	101
209	54	6	103
210	101	54	6
211	5	199	54
212	5	100	54
213	5	149	55
214	54	100	7
215	98	5	54
216	7	52	152
217	52	5	100
218	101	54	6
219	53	5	100
220	52	4	99
221	120	73	168
222	199	52	7
223	6	99	54
224	50	100	7
225	5	51	100
226	86	132	40
227	5	51	100
228	197	5	152
229	98	5	53
230	5	52	199
231	56	104	9
232	24	72	119
233	100	5	54
234	5	53	102
235	7	54	103
236	7	52	102
237	100	5	52
238	5	54	102
239	52	100	6
240	100	5	55
241	5	51	102
242	100	5	54
243	5	53	140
244	52	5	102
245	5	100	54
246	4	99	54
247	5	98	52
248	52	5	100
249	141	94	48
250	198	53	7
251	54	4	103
252	7	102	57
253	5	148	54
254	199	5	152
255	7	52	102
256	5	150	199
257	5	53	102
258	52	99	6
259	150	198	5
260	5	54	103
261	40	88	133
262	102	7	56
263	52	100	7
264	5	54	104
265	126	5	80
266	54	101	8
267	5	51	100
268	52	98	7
269	78	127	175
270	5	51	98
271	7	54	103
272	99	6	56
273	197	5	54
274	5	150	199
275	98	5	55
276	186	93	141
277	7	54	102
278	5	52	131
279	50	5	100
280	5	101	54
281	5	100	54
282	52	5	102
283	5	100	54
284	5	197	152
285	54	7	102
286	53	5	102
287	5	98	52
288	5	100	53
289	4	99	54
290	7	100	54
291	98	50	5
292	52	4	101
293	197	150	106
294	52	5	100
295	102	55	7
296	52	5	100
297	100	52	147
298	143	94	7
299	5	100	54
300	197	150	7
301	197	152	7
302	151	104	201
303	5	98	52
304	54	6	103
305	52	5	102
306	152	103	200
307	100	52	7
308	52	5	100
309	98	48	145
310	53	5	102
311	54	6	103
312	27	122	77
313	54	7	102
314	52	4	101
315	4	99	52
316	100	52	7
317	53	7	104
318	16	111	66
319	92	5	139
320	99	54	6
321	53	5	102
322	148	54	8
323	5	52	102
324	126	5	79
325	52	102	7
326	100	5	53
327	148	196	7
328	102	147	56
329	5	51	100
330	128	35	84
331	84	130	39
332	6	52	101
333	5	126	81
334	53	5	102
335	6	100	54
336	7	98	54
337	5	100	53
338	54	5	102
339	5	100	54
340	5	100	55
341	7	102	57
342	7	100	54
343	100	53	7
344	98	52	7
345	98	52	6
346	55	7	104
347	52	5	101
348	98	51	5
349	100	50	5
350	55	7	104
351	4	197	151
352	55	7	104
353	52	4	99
354	98	53	7
355	5	98	54
356	52	6	101
357	53	5	102
358	5	100	56
359	100	53	7
360	5	139	56
361	86	131	181
362	7	54	104
363	51	98	7
364	55	100	7
365	100	7	55
366	5	53	102
367	101	5	54
368	5	55	102
369	52	100	7
370	5	50	100
371	100	5	54
372	244	5	54
373	52	5	100
374	7	100	55
375	6	100	56
376	98	52	7
377	6	100	54
378	5	193	242
379	5	52	248
380	53	5	100
381	7	231	54
382	5	55	102
383	54	102	7
384	7	55	104
385	53	100	7
386	5	52	101
387	175	222	5
388	100	5	54
389	98	5	55
390	5	50	100
391	39	86	136
392	5	176	226
393	5	53	102
394	71	118	25
395	102	5	54
396	100	5	55
397	156	61	109
398	54	102	7
399	126	33	82
400	6	52	103
401	112	160	65
402	100	5	54
403	52	99	6
404	151	201	106
405	98	5	53
406	51	98	5
407	52	100	7
408	52	100	7
409	156	203	110
410	52	101	6
411	99	148	55
412	100	5	55
413	98	5	53
414	5	52	102
415	5	53	102
416	7	54	103
417	52	100	7
418	5	50	100
419	53	100	7
420	100	5	54
421	55	100	7
422	50	98	7
423	5	52	100
424	104	7	56
425	237	5	193
426	5	191	243
427	52	100	6
428	100	5	54
429	5	52	101
430	98	5	54
431	98	5	53
432	131	36	86
433	5	53	102
434	54	102	7
435	5	52	102
436	100	5	54
437	9	100	149
438	7	53	102
