Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	730	778	5392
1	52	5	7505
2	488	7	6443
3	55	5	7500
4	798	845	5392
5	396	348	5393
6	281	5	6441
7	1144	48	8588
8	271	318	5394
9	942	989	5390
10	55	5	7502
11	655	705	5396
12	64	16	7513
13	386	7	6442
14	91	1204	6553
15	87	133	7545
16	4	268	6538
17	223	174	7626
18	5	54	7598
19	308	5	6441
20	99	52	7541
21	308	358	5495
22	7	420	6443
23	5	52	7500
24	107	59	9686
25	185	233	7620
26	53	5	7502
27	372	420	5394
28	5	847	6444
29	157	202	7573
30	345	298	5490
31	395	442	5396
32	5	116	8585
33	913	962	5398
34	53	5	7504
35	531	5	6433
36	53	5	7498
37	828	875	5394
38	765	715	5394
39	246	294	7631
40	877	830	5392
41	316	4	6536
42	1109	1062	5398
43	124	5	8584
44	261	211	7584
45	4	52	7503
46	52	5	7504
47	456	504	5394
48	5	589	6439
49	4	52	7501
50	4	624	6442
51	516	7	6439
52	52	5	7503
53	669	718	5395
54	5	641	6437
55	7	52	7492
56	5	515	6442
57	313	5	6542
58	5	911	6442
59	1067	5	6439
60	52	7	7599
61	1091	27	6461
62	138	91	7592
63	5	52	7500
64	13	1076	6450
65	52	99	7537
66	5	866	6439
67	718	765	5389
68	5	1044	6439
69	7	54	7502
70	52	5	9633
71	273	31	6464
72	52	5	9639
73	5	152	7600
74	538	489	5395
75	490	5	6443
76	7	260	6440
77	94	5	8582
78	585	537	5394
79	291	26	6460
80	53	5	7502
81	4	52	7499
82	7	450	6535
83	14	64	7511
84	935	888	5390
85	453	500	5490
86	5	958	6439
87	277	7	6440
88	54	5	9635
89	105	5	8578
90	248	200	5394
91	358	54	6486
92	990	942	5392
93	793	7	6438
94	629	582	5392
95	928	975	5391
96	5	1113	6468
97	5	52	7496
98	5	574	6437
99	5	52	8583
100	5	186	6439
101	333	286	5392
102	922	5	6439
103	5	553	6538
104	93	141	7530
105	53	5	7596
106	128	5	8577
107	53	5	9640
108	963	7	6438
109	52	5	7599
110	5	52	7597
111	1134	5	8536
112	450	70	6504
113	216	168	5394
114	52	5	7496
115	5	50	7498
116	52	5	7496
117	54	101	7549
118	5	690	6439
119	5	53	7498
120	360	313	5394
121	496	541	5486
122	52	5	7498
123	5	53	9640
124	613	566	5490
125	5	52	7603
126	154	105	7536
127	264	7	6444
128	4	926	6440
129	722	5	6440
130	53	5	7498
131	900	7	6440
132	625	575	5490
133	396	5	6445
134	54	7	7502
135	498	545	5444
136	720	672	5394
137	5	52	7502
138	86	40	7543
139	5	53	7508
140	7	926	6445
141	435	482	5396
142	400	352	5396
143	450	5	6446
144	578	530	5455
145	222	5	6445
146	611	564	5481
147	997	1045	5398
148	52	6	7505
149	136	4	8587
150	582	534	5442
151	147	195	7537
152	7	943	6444
153	993	1038	5398
154	896	848	5398
155	1003	1052	5395
156	470	423	5394
157	568	48	6484
158	5	478	6441
159	119	167	7532
160	841	796	5394
161	7	152	7605
162	7	173	6443
163	69	21	7514
164	170	5	6440
165	771	5	6442
166	53	5	7506
167	991	1039	5396
168	159	112	7532
169	5	55	7504
170	227	180	5393
171	995	948	5390
172	485	4	6442
173	5	499	6443
174	5	52	7597
175	996	948	5396
176	89	137	7586
177	1003	956	5396
178	5	52	7498
179	53	5	7502
180	588	4	6444
181	52	4	7505
182	487	534	5394
183	7	458	6445
184	5	52	7501
185	54	6	7503
186	6	1130	8548
187	7	1071	6443
188	7	152	7596
189	53	5	7506
190	724	102	6538
191	55	5	7500
192	581	5	6441
193	5	1044	6440
194	7	53	7502
195	50	4	7499
196	494	542	5396
197	5	114	8574
198	532	4	6436
199	553	505	5396
200	1076	13	6446
201	501	451	5396
202	5	53	7506
203	54	5	7506
204	5	52	7507
205	52	5	7500
206	710	37	6474
207	1086	1038	5398
208	707	27	6463
209	1037	989	5392
210	456	504	5394
211	5	103	8582
212	7	1138	8542
213	52	5	7503
214	5	53	7502
215	560	515	5396
216	5	1138	8550
217	53	5	7504
218	4	52	7501
219	52	4	7501
220	66	116	7537
221	1053	1008	5392
222	5	52	7505
223	54	7	9645
224	5	54	7603
225	262	215	5390
226	961	5	6440
227	54	6	7503
228	7	79	7541
229	7	55	7508
230	52	5	7503
231	613	5	6444
232	713	665	5391
233	658	5	6444
234	229	180	5400
235	1099	1052	5395
236	7	54	7498
237	52	5	7503
238	440	7	6435
239	51	5	7500
240	1085	1038	5394
241	7	54	7504
242	53	5	7498
243	579	5	6444
244	54	5	7501
245	573	621	5398
246	5	768	6442
247	822	870	5426
248	864	818	5418
249	5	52	7506
250	212	162	7536
251	796	843	5394
252	580	534	5397
253	1027	1074	5497
254	4	744	6440
255	1123	5	6471
256	583	534	5394
257	308	356	5394
258	50	4	7503
259	804	5	6440
260	572	524	5400
261	787	834	5396
262	872	826	5392
263	5	52	7505
264	725	676	5398
265	322	6	6444
266	5	570	6446
267	845	893	5396
268	51	5	7506
269	150	103	7605
270	4	52	7507
271	54	5	7502
272	511	4	6444
273	4	228	6444
274	6	54	7501
275	695	648	5398
276	658	705	5398
277	53	5	7504
278	385	433	5396
279	7	832	6442
280	699	747	5398
281	422	374	5398
282	557	5	6442
283	53	5	7504
284	677	5	6439
285	52	4	7503
286	82	994	6521
287	937	25	6461
288	52	6	7501
289	5	50	7505
290	52	5	9637
291	5	52	7502
292	373	226	5396
293	1016	82	6516
294	5	377	6441
295	5	51	7500
296	51	5	7500
297	706	851	5394
298	606	461	5394
299	5	55	7498
300	544	399	5396
301	742	6	6444
302	53	5	7506
303	558	4	6444
304	5	915	6444
305	723	771	5398
306	7	272	6446
307	5	735	6444
308	316	362	5395
309	1090	1044	5393
310	1066	5	6444
311	5	696	6444
312	472	519	5398
313	53	5	7504
314	5	55	7506
315	846	796	5400
316	1139	1187	5477
317	202	155	7633
318	1156	1204	5495
319	606	556	5396
320	713	761	5390
321	53	5	7500
322	911	5	6441
323	4	1044	6442
324	5	53	7502
325	6	613	6448
326	743	791	5399
327	716	668	5399
328	5	52	7503
329	52	5	7502
330	5	54	7506
331	51	5	7506
332	950	997	5396
333	54	6	7505
334	7	54	7507
335	7	375	6447
336	438	485	5394
337	5	339	6442
338	193	6	8681
339	1168	1120	5458
340	268	5	6442
341	605	5	6444
342	7	816	6442
343	393	442	5402
344	58	11	7506
345	7	54	9741
346	121	1183	6557
347	5	52	7507
348	360	314	5396
349	998	5	6444
350	347	300	5393
351	232	280	7630
352	181	6	7634
353	52	7	7502
354	249	5	8675
355	828	781	5396
356	238	5	8670
357	52	5	7505
358	407	5	6439
359	5	388	6438
360	20	68	7511
361	325	275	5487
362	883	835	5394
363	5	52	7500
364	50	4	9733
365	5	53	7495
366	7	720	6437
367	5	52	7500
368	53	5	7498
369	5	52	7500
370	61	14	7503
371	5	52	7496
372	236	188	7610
373	720	5	6440
374	124	77	8655
375	756	5	6445
376	5	408	6436
377	301	346	5489
378	5	484	6439
379	5	54	7500
380	93	5	8578
381	265	215	7615
382	658	5	6444
383	52	5	7494
384	4	54	7488
385	52	5	7594
386	6	52	7494
387	5	964	6437
388	949	5	6437
389	596	549	5387
390	5	52	7492
391	876	828	5404
392	377	5	6534
393	101	283	6533
394	293	245	5458
395	7	964	6442
396	235	283	5443
397	5	53	7502
398	117	69	7562
399	562	515	5389
400	5	52	7500
401	52	5	7502
402	4	52	7496
403	592	547	5388
404	278	61	6495
405	65	18	7513
406	37	85	7528
407	5	489	6440
408	186	5	6441
409	629	4	6438
410	7	452	6532
411	114	4	8578
412	1065	1017	5392
413	1066	1113	5402
414	624	576	5394
415	113	5	8573
416	7	1047	6441
417	1101	37	6473
418	52	5	7496
419	152	5	7600
420	886	934	5392
421	7	823	6437
422	417	464	5489
423	5	1039	6440
424	767	816	5393
425	5	190	6443
426	52	5	8540
427	5	50	7498
428	52	5	7498
429	7	54	7494
430	152	5	7596
431	7	54	7496
432	1016	966	5396
433	314	361	5400
434	75	28	7519
435	5	53	7500
436	52	5	9637
437	5	51	7497
438	643	5	6438
439	5	896	6437
440	365	412	5433
441	76	408	6508
442	69	116	7534
443	53	5	7502
444	6	54	7498
445	4	821	6438
446	5	54	7496
447	33	1095	6463
448	5	53	9632
449	5	140	8576
450	390	28	6459
451	53	5	7502
452	571	618	5493
453	150	5	7596
454	534	583	5490
455	53	7	8584
456	4	52	7499
457	261	213	5395
458	5	54	7502
459	54	4	7498
460	5	148	7599
461	65	19	7509
462	948	5	6440
463	4	228	6440
464	828	878	5393
465	152	5	7600
466	886	934	5396
467	5	418	6439
468	7	54	7502
469	51	5	7590
470	827	874	5387
471	279	233	5386
472	4	54	7496
473	4	547	6534
474	161	5	8578
475	54	5	7496
476	1002	1050	5396
477	53	5	7498
478	253	300	5391
479	6	1008	6438
480	664	5	6538
481	5	770	6437
482	1045	1095	5392
483	53	5	7500
484	538	67	6501
485	5	1063	6441
486	834	882	5391
487	632	587	5488
488	5	54	7502
489	924	875	5392
490	928	975	5389
491	875	828	5392
492	1025	1072	5392
493	928	878	5396
494	914	962	5394
495	371	323	5392
496	538	27	6461
497	53	7	8582
498	7	53	7496
499	120	73	7568
500	881	928	5391
501	52	5	7502
502	452	5	6441
503	1113	1066	5400
504	184	5	6440
505	4	52	9637
506	93	6	8578
507	255	205	5394
508	1076	10	6446
509	53	5	7498
510	346	393	5390
511	53	5	7500
512	232	4	6433
513	8	577	6438
514	5	52	7498
515	5	1121	6468
516	499	5	6437
517	1016	969	5391
518	168	215	5392
519	87	134	7533
520	5	184	6443
521	54	7	7504
522	7	52	7500
523	6	230	6440
524	5	53	7498
525	109	61	7534
526	7	152	7603
527	54	5	7504
528	5	54	9643
529	146	97	7534
530	599	648	5390
