Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	70	217	3568
1	1812	1959	4262
2	451	596	3949
3	1186	1331	3633
4	386	533	3883
5	1818	1964	4267
6	470	617	3970
7	1438	1584	3889
8	1927	2074	3340
9	25	75	4410
10	339	386	3737
11	1574	1721	4021
12	37	84	3433
13	1128	1275	3576
14	601	648	3999
15	1453	1600	3900
16	16	66	3416
17	1236	1383	3686
18	593	641	3992
19	1173	1222	3524
20	188	236	3585
21	1891	1939	4241
22	800	849	4198
23	2027	35	4375
24	27	76	3421
25	1946	1993	4292
26	175	225	3573
27	1602	1650	3951
28	186	236	3585
29	1805	1852	4155
30	408	457	3802
31	1058	1108	3408
32	671	718	4067
33	1511	1560	3859
34	482	529	3876
35	1323	1370	3669
36	2056	19	3370
37	1865	1914	4215
38	2024	2072	3338
39	1473	1523	3822
40	181	230	3575
41	1947	1996	4297
42	80	129	3476
43	1826	1873	4174
44	31	79	3430
45	1965	2014	4315
46	768	815	4164
47	1178	1228	3528
48	817	865	4211
49	1881	1929	4231
50	599	649	3997
51	1584	1633	3932
52	725	774	4121
53	1855	1903	4205
54	611	658	4005
55	1812	1862	4162
56	693	742	4091
57	1947	1994	4297
58	173	221	3570
59	1040	1087	3390
60	341	388	3739
61	1269	1316	3619
62	427	474	3825
63	1958	2006	4310
64	185	232	3581
65	1938	1986	4288
66	775	823	4174
67	1925	1974	4273
68	155	205	3553
69	1863	1913	4215
70	528	576	3924
71	1977	2026	4327
72	879	926	4275
73	1998	6	4346
74	834	883	4230
75	1891	1940	4243
76	586	636	3981
77	1898	1946	4248
78	110	157	3506
79	1728	1777	4078
80	854	902	4251
81	1809	1858	4161
82	656	705	4052
83	1338	1388	3686
84	755	804	4155
85	1518	1567	3868
86	61	110	3459
87	1225	1275	3573
88	220	270	3616
89	1310	1358	3658
90	67	114	3459
91	1327	1376	3677
92	541	590	3939
93	1942	1991	4294
94	34	82	3431
95	1141	1188	3491
96	385	433	3782
97	1702	1751	4052
98	326	375	3726
99	1298	1348	3648
100	192	241	3588
101	1645	1693	3993
102	2035	2083	3351
103	46	95	4432
104	108	157	3506
105	1421	1470	3773
106	595	643	3991
107	1323	1370	3673
108	160	208	3560
109	1631	1680	3982
110	457	506	3857
111	1930	1978	4280
112	368	416	3766
113	2032	38	4382
114	219	268	3619
115	1678	1725	4028
116	633	683	4031
117	1895	1942	4245
118	618	667	4014
119	1707	1755	4055
120	451	498	3847
121	1561	1610	3911
122	446	495	3842
123	1719	1767	4067
124	519	568	3919
125	1152	1199	3500
126	346	395	3742
127	1257	1305	3604
128	215	262	3609
129	1156	1204	3504
130	725	774	4121
131	1816	1864	4166
132	938	986	4336
133	1518	1568	3870
134	301	348	3699
135	1182	1231	3530
136	815	864	4211
137	1254	1303	3604
138	772	820	4170
139	1704	1752	4052
140	179	227	3579
141	1042	1090	3394
142	817	866	4215
143	1914	1963	4264
144	11	58	3407
145	1859	1908	4207
146	65	113	3463
147	1357	1406	3707
148	35	82	3433
149	1895	1942	4245
150	382	431	3780
151	1737	1787	4085
152	267	315	3665
153	1066	1116	3416
154	442	489	3838
155	1175	1223	3523
156	708	757	4104
157	1546	1593	3896
158	224	274	3619
159	1837	1884	4185
160	952	1001	4350
161	1888	1935	4238
162	635	683	4031
163	2027	37	4375
164	698	746	4094
165	1171	1220	3519
166	695	742	4091
167	1748	1798	4100
168	714	762	4110
169	1428	1478	3778
170	954	1002	4350
171	1434	1481	3782
172	258	307	3658
173	1417	1465	3767
174	760	810	4160
175	1977	2025	4327
176	379	427	3779
177	1683	1730	4034
178	620	669	4020
179	1814	1862	4162
180	205	254	3605
181	1471	1521	3823
182	626	675	4022
183	25	73	4410
184	2021	2070	3336
185	2026	34	4376
186	182	229	3582
187	1209	1256	3559
188	600	647	3996
189	2032	38	4378
190	436	484	3833
191	50	99	4436
