Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	837	888	4550
1	676	727	4391
2	149	198	3864
3	892	943	4609
4	665	716	4380
5	905	956	4620
6	84	133	3799
7	429	478	4142
8	601	652	4314
9	875	926	4590
10	592	642	4305
11	985	1037	3654
12	942	993	4657
13	106	157	3821
14	593	645	4307
15	495	544	4208
16	42	93	3757
17	144	193	3859
18	702	752	4415
19	689	740	4408
20	1007	5	3673
21	243	295	3957
22	785	834	4498
23	552	602	4264
24	318	368	4030
25	858	907	4571
26	120	169	3833
27	183	232	3896
28	774	823	4485
29	228	279	3941
30	410	461	4123
31	290	341	4005
32	869	919	4584
33	288	339	4003
34	132	182	3845
35	660	709	4373
36	39	90	3752
37	861	913	4574
38	204	253	3915
39	1043	45	3709
40	1033	35	3699
41	215	266	3930
42	46	97	3761
43	29	78	3740
44	168	218	3881
45	93	144	3808
46	622	671	4333
47	229	281	3944
48	333	384	4046
49	680	729	4391
50	936	988	4650
51	575	626	4286
52	683	734	4396
53	440	489	4153
54	933	983	4645
55	815	864	4528
56	55	107	3769
57	486	536	4198
58	916	967	4625
59	615	664	4326
60	915	966	4628
61	833	883	4545
62	91	142	3804
63	868	919	4579
64	479	529	4191
65	388	437	4095
66	717	768	4428
67	303	354	4014
68	631	681	4341
69	684	735	4397
70	1029	33	3696
71	451	503	4163
72	119	169	3830
73	16	65	3725
74	277	327	3988
75	250	300	3964
76	311	360	4020
77	951	1001	4661
78	139	189	3849
79	65	114	3776
80	572	623	4283
81	27	78	3740
82	61	110	3772
83	781	830	4492
84	1029	31	3691
85	67	118	3780
86	970	1022	3634
87	731	780	4442
88	665	716	4375
89	196	248	3906
90	369	418	4078
91	213	264	3924
92	966	1018	3630
93	481	532	4192
94	269	320	3980
95	421	470	4132
96	579	630	4292
97	133	182	3844
98	290	341	4001
99	970	1022	3635
100	1014	16	3677
101	811	862	4524
102	365	416	4074
103	89	140	3802
104	693	743	4401
105	143	194	3853
106	238	287	3949
107	513	564	4222
108	648	699	4361
109	251	300	3962
110	464	515	4177
111	961	1011	3623
112	16	67	3729
113	320	369	4031
114	378	427	4091
115	271	322	3984
116	956	1005	3619
117	761	810	4472
118	989	1039	3652
119	710	761	4421
120	318	465	4028
121	946	46	3609
122	971	71	3636
123	856	1005	3521
124	320	468	4031
125	352	500	4065
126	65	213	3778
127	875	1024	3540
128	661	810	4370
129	862	1011	3525
130	819	968	4528
131	88	236	3801
132	850	999	4562
133	271	420	3984
134	254	401	3965
135	312	461	4021
136	958	55	3622
137	1050	149	3714
138	419	471	4035
139	460	510	4072
140	976	1026	3544
141	980	1030	3546
142	659	711	4275
143	203	255	3817
144	509	559	4121
145	915	964	4530
146	781	832	4394
147	123	172	3739
148	290	339	3907
149	239	288	3855
150	60	111	3677
151	552	604	4170
152	526	576	4142
153	918	970	4536
154	534	583	4147
155	864	913	4480
156	419	470	4037
157	415	466	4031
158	766	817	4382
159	154	204	3768
160	472	523	4086
161	508	557	4123
162	457	507	4075
163	1000	1051	3570
164	273	324	3889
165	890	942	4508
166	432	481	4044
167	66	118	3684
168	901	952	4517
169	552	602	4168
170	633	684	4248
171	622	671	4239
172	363	412	3980
173	831	881	4449
174	784	834	4402
175	59	109	3673
176	115	164	3733
177	792	843	4408
178	166	218	3782
179	839	890	4453
180	895	945	4511
181	65	116	3681
182	250	301	3864
183	268	317	3885
184	672	723	4289
185	621	673	4237
186	266	317	3883
187	76	127	3692
188	899	948	4514
189	403	452	4018
190	577	626	4193
191	961	1010	4578
192	58	109	3675
193	537	589	4151
194	446	495	4061
195	523	572	4138
196	836	885	4446
197	369	418	3986
198	271	323	3889
199	909	960	4525
200	323	373	3937
201	575	626	4189
202	1007	9	3572
203	7	57	3621
204	204	253	3819
205	860	911	4474
206	871	921	4485
207	699	748	4313
208	763	812	4376
209	331	382	3945
210	192	244	3808
211	558	607	4173
212	845	895	4461
213	326	377	3941
214	241	292	3857
215	956	1005	4568
216	174	225	3790
217	878	928	4494
218	987	1039	3555
219	898	947	4511
220	1042	44	3613
221	541	591	4155
222	674	724	4290
223	670	720	4284
224	89	138	3701
225	31	80	3643
226	883	932	4496
227	126	176	3742
228	91	142	3703
229	567	616	4181
230	615	666	4230
231	348	399	3964
232	238	287	3851
233	440	489	4056
234	655	705	4269
235	856	905	4468
236	1046	48	3613
237	69	118	3679
238	89	140	3701
239	543	592	4157
240	59	108	3673
241	735	786	4348
242	260	311	3873
243	187	236	3801
244	597	648	4211
245	326	377	3939
246	770	821	4383
247	524	573	4140
248	331	381	3943
249	622	671	4236
250	189	240	3803
251	7	58	3617
252	783	833	4393
253	415	465	4025
254	913	964	4526
255	348	400	3962
256	548	599	4160
257	933	984	4546
258	858	909	4472
259	736	787	4348
260	425	474	4039
261	539	590	4151
262	980	1029	3544
263	751	802	4363
264	476	525	4086
265	155	206	3770
266	125	175	3737
267	768	819	4380
268	397	447	4011
269	374	425	3988
270	1008	10	3573
271	843	893	4459
272	779	830	4395
273	155	204	3768
274	462	511	4072
275	1031	33	3598
276	987	1038	3553
277	11	60	3623
278	103	152	3713
279	803	853	4417
280	864	913	4478
281	648	699	4261
282	519	568	4131
283	463	514	4076
284	167	216	3780
285	993	1045	3559
286	290	341	3905
287	958	1009	3523
288	766	815	4380
289	211	262	3829
290	957	1009	4573
291	770	821	4385
292	853	902	4468
293	307	357	3921
294	204	255	3818
295	314	364	3928
296	76	127	3689
297	907	958	4521
298	973	1024	3540
299	351	403	3967
300	134	186	3750
301	224	273	3836
302	305	356	3922
303	554	606	4168
304	464	514	4078
305	171	223	3783
306	946	997	4562
307	834	883	4445
308	161	212	3773
309	360	409	3971
310	741	793	4357
311	599	648	4211
312	631	680	4241
313	131	182	3743
314	118	167	3733
315	309	360	3925
316	985	1036	3554
317	991	1041	3559
318	582	634	4196
319	593	644	4209
320	316	365	3931
321	335	385	3949
322	430	481	4044
323	556	608	4170
