Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	605	558	4260
1	994	946	4648
2	620	573	4275
3	973	926	4626
4	742	693	4396
5	838	791	4492
6	728	680	4384
7	643	596	4297
8	427	378	4081
9	469	420	4120
10	1037	988	3647
11	575	526	4228
12	348	301	4001
13	950	901	4603
14	671	624	4324
15	862	815	4519
16	35	1035	3690
17	62	12	3716
18	317	267	3971
19	423	374	4076
20	616	569	4269
21	639	591	4291
22	167	119	3821
23	907	858	4560
24	733	684	4384
25	461	413	4115
26	973	924	4626
27	539	490	4192
28	701	651	4353
29	512	465	4165
30	609	562	4262
31	811	764	4464
32	341	292	3994
33	795	746	4448
34	1033	985	3639
35	1020	973	3628
36	554	505	4207
37	992	942	4646
38	720	671	4374
39	523	475	4175
40	12	1010	3667
41	261	213	3915
42	1007	959	3617
43	300	253	3957
44	855	805	4509
45	823	774	4478
46	276	227	3928
47	26	1024	3679
48	407	357	4061
49	746	697	4400
50	570	522	4224
51	520	472	4174
52	834	784	4484
53	500	451	4155
54	394	345	4047
55	214	164	3866
56	808	761	4463
57	827	777	4477
58	403	356	4058
59	703	654	4356
60	129	82	3784
61	1009	961	3619
62	377	329	4031
63	823	775	4477
64	941	891	3549
65	437	290	3994
66	908	858	3514
67	390	245	3945
68	174	29	3731
69	950	803	4505
70	291	146	3848
71	319	172	3875
72	725	579	4282
73	469	322	4026
74	459	314	4016
75	491	344	4046
76	377	232	3932
77	505	358	4060
78	448	303	4003
79	426	279	3979
80	701	554	4254
81	210	65	3765
82	832	785	4385
83	396	348	3949
84	107	57	3660
85	216	168	3773
86	562	515	4115
87	769	721	4322
88	445	395	4000
89	581	532	4134
90	842	792	4393
91	977	930	4528
92	995	948	4546
93	100	50	3653
94	587	540	4140
95	191	144	3746
96	757	708	4311
97	688	641	4241
98	812	762	4363
99	1050	1000	3559
100	361	312	3916
101	787	740	4344
102	711	663	4266
103	418	370	3973
104	720	672	4275
105	289	241	3844
106	433	383	3989
107	341	292	3896
108	953	903	4508
109	935	888	4488
110	806	757	4361
111	746	696	4295
112	778	731	4333
113	227	177	3778
114	240	190	3795
115	759	711	4312
116	832	785	4385
117	482	433	4035
118	827	779	4382
119	724	676	4277
120	394	347	3949
121	555	507	4108
122	1026	978	3536
123	1014	965	3523
124	242	194	3797
125	427	380	3982
126	412	363	3971
127	386	336	3944
128	551	503	4109
129	915	868	4474
130	338	288	3898
131	221	174	3782
132	536	486	4094
133	231	181	3788
134	661	614	4222
135	1031	984	3544
136	251	202	3810
137	725	676	4284
138	480	430	4038
139	480	433	4041
140	782	734	4342
141	626	578	4185
142	626	578	4186
143	851	803	4411
144	746	697	4307
145	829	781	4387
146	323	273	3878
147	414	367	3975
148	852	804	4412
149	303	254	3864
150	467	419	4026
151	211	162	3770
152	776	728	4335
153	958	908	4517
154	557	509	4116
155	486	438	4044
156	26	1028	3585
157	940	890	4498
158	529	480	4088
159	229	181	3787
160	873	826	4432
161	559	510	4120
162	797	747	4355
163	219	171	3780
164	148	98	3706
165	587	537	4145
166	673	625	4233
167	934	886	4496
168	900	852	4460
169	424	376	3985
170	390	340	3947
171	84	35	3641
172	517	468	4074
173	174	127	3731
174	916	867	4475
175	1010	961	4567
176	135	87	3695
177	287	238	3844
178	731	681	4289
179	997	948	4556
180	988	939	4549
181	190	140	3750
182	808	759	4369
183	1036	989	3547
184	382	335	3943
185	80	33	3639
186	452	404	4012
187	881	832	4440
188	274	224	3833
189	921	873	4480
190	615	567	4175
191	167	117	3727
192	536	488	4095
193	729	680	4286
194	133	83	3693
195	523	473	4083
196	437	387	3997
197	845	798	4404
