Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	80	131	3593
1	93	1182	3596
2	746	797	4256
3	698	1785	4201
4	5	56	3514
5	130	1219	3633
6	12	63	3521
7	305	1394	3808
8	482	533	3992
9	888	1975	4388
10	125	177	3636
11	34	1123	3536
12	879	930	4386
13	933	2022	4434
14	878	930	4389
15	271	1358	3774
16	485	537	3992
17	667	1754	4168
18	472	523	3983
19	387	1476	3890
20	285	336	3793
21	286	1375	3789
22	313	364	3821
23	144	1232	3645
24	453	504	3962
25	58	1147	3563
26	914	965	4424
27	723	1812	4228
28	691	743	4202
29	228	1317	3731
30	209	260	3718
31	960	2046	4459
32	1020	23	3482
33	712	1799	4211
34	665	717	4172
35	906	1993	4406
36	201	253	3708
37	968	11	4466
38	327	378	3834
39	391	1476	3890
40	421	472	3928
41	839	1926	4340
42	866	917	4371
43	603	1689	4104
44	33	85	3540
45	954	2041	4455
46	290	341	3797
47	1003	1054	3463
48	93	144	3596
49	914	2001	4414
50	203	255	3710
51	678	1765	4180
52	982	2076	3443
53	237	1326	3738
54	950	1001	4457
55	534	1623	4035
56	412	463	3920
57	271	1358	3770
58	55	107	3566
59	46	1133	3546
60	173	225	3682
61	571	1656	4070
62	245	296	3752
63	975	18	4468
64	445	496	3952
65	669	1756	4168
66	1007	10	3465
67	1023	1074	3484
68	566	617	4071
69	999	1050	3461
70	65	116	3574
71	726	1811	4226
72	468	519	3976
73	371	1458	3870
74	288	340	3795
75	663	1750	4162
76	674	725	4179
77	102	1187	3600
78	498	549	4007
79	97	1184	3596
80	837	888	4346
81	646	1733	4147
82	410	461	3918
83	460	1547	3960
84	732	784	4239
85	796	1883	4295
86	584	636	4093
87	879	1968	4378
88	178	229	3685
89	569	1658	4068
90	216	268	3721
91	671	1758	4170
92	895	946	4400
93	39	1126	3538
94	780	831	4283
95	247	1334	3748
96	766	817	4273
97	262	1351	3765
98	344	396	3851
99	583	1672	4084
100	243	294	3748
101	952	2041	4453
102	710	761	4215
103	7	1094	3506
104	294	345	3803
105	751	1838	4250
106	59	110	3568
107	277	1364	3776
108	54	105	3561
109	504	1593	4007
110	990	2084	3453
111	263	1350	3763
112	288	339	3797
113	558	1645	4060
114	398	449	3909
115	663	1752	4163
116	641	692	4148
117	204	1290	3705
118	185	237	3694
119	421	1508	3924
120	815	866	4323
121	301	1388	3804
122	701	752	4211
123	695	1784	4198
124	624	675	4133
125	869	1958	4372
126	505	556	4014
127	1002	1053	3466
128	903	955	4410
129	28	1116	3531
130	878	929	4387
131	814	1903	4318
132	350	401	3860
133	599	1686	4101
134	721	772	4230
135	968	11	4465
136	972	2066	3436
137	1035	1086	3501
138	282	333	3793
139	512	1600	4013
140	665	716	4174
141	783	1872	4287
142	584	636	4091
143	997	38	4498
144	288	339	3796
145	241	1330	3745
146	518	570	4031
147	535	1624	4036
148	98	150	3607
149	281	1368	3782
150	772	823	4282
151	943	2030	4446
152	373	424	3881
153	346	1433	3847
154	317	366	3825
155	168	1257	3673
156	172	223	3682
157	562	1649	4063
158	37	88	3548
159	939	2026	4440
160	959	2056	3425
161	360	1448	3861
162	565	616	4074
163	644	1733	4149
164	204	255	3713
165	614	1701	4117
166	134	186	3641
167	953	2040	4456
168	1004	6	3466
169	251	1340	3752
170	958	2054	3421
171	1008	1059	3471
172	567	619	4078
173	423	1510	3926
174	895	947	4404
175	1018	1069	3480
176	1029	31	3493
177	63	1152	3568
178	463	514	3972
179	318	1407	3820
180	586	637	4097
181	123	1210	3625
182	601	652	4110
183	449	1538	3953
184	252	303	3759
185	796	1883	4298
186	790	841	4295
187	620	1709	4122
188	218	270	3729
189	412	1499	3910
190	995	2089	3457
191	725	1812	4226
192	438	490	3949
193	408	1495	3909
194	406	457	3913
195	800	1887	4299
196	999	2093	3461
197	933	2019	4434
198	288	340	3895
199	705	1792	4303
200	393	444	4003
201	533	1622	4134
202	354	405	3964
203	923	2010	4524
204	828	879	4438
205	994	37	4597
206	496	547	4104
207	742	1831	4344
208	344	395	3954
209	371	1459	3971
210	697	748	4305
211	999	1050	3559
212	946	997	4554
213	772	1861	4375
214	639	690	4249
215	179	1268	3780
216	618	669	4223
217	429	1518	4030
218	1025	27	3587
219	721	1808	4320
220	395	446	4005
221	661	1748	4261
222	130	182	3737
223	171	1260	3774
224	586	638	4196
225	809	1898	4410
226	938	991	4548
227	756	1845	4357
228	477	528	4085
229	961	2049	4563
230	155	208	3765
231	598	1684	4196
232	1003	6	3566
233	814	1901	4415
234	359	410	3967
235	552	1639	4153
236	25	76	3635
237	506	1595	4108
238	800	851	4406
239	715	1804	4318
240	768	819	4376
241	680	1769	4283
242	618	670	4230
243	1000	41	4602
244	318	369	3930
245	374	1463	3977
246	54	107	3668
247	166	1256	3770
248	395	446	4009
249	721	1810	4323
250	474	525	4084
251	480	1568	4084
252	42	93	3654
253	730	1819	4334
254	54	105	3664
255	348	1436	3952
256	668	720	4278
257	871	1958	4472
258	603	654	4213
259	303	1392	3905
260	687	739	4299
261	566	1652	4168
262	761	812	4373
263	482	1570	4086
264	881	932	4493
265	680	1769	4285
266	593	645	4205
267	767	1855	4371
268	131	182	3741
269	30	1118	3634
270	508	559	4118
271	241	1328	3842
272	526	578	4138
273	313	1403	3919
274	423	474	4033
275	635	1724	4240
276	941	992	4551
277	436	1523	4035
278	946	997	4556
279	351	1440	3954
280	198	249	3809
281	944	2035	4548
282	128	180	3740
283	1018	1069	3581
284	742	793	4352
285	1000	140	4602
286	325	377	3935
287	541	1629	4145
288	172	223	3782
289	74	1163	3678
