Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	20	62	12
1	59	20	28
2	64	56	68
3	32	48	36
4	58	14	22
5	29	37	47
6	63	7	15
7	66	33	61
8	42	38	26
9	19	15	63
10	48	56	60
11	3	28	18
12	55	39	9
13	18	50	58
14	24	42	28
15	22	26	59
16	31	36	44
17	59	45	37
18	45	55	40
19	58	20	62
20	17	12	27
21	30	26	38
22	37	41	60
23	60	50	8
24	48	44	56
25	18	8	60
26	46	58	62
27	62	18	32
28	60	23	33
29	35	21	5
30	62	5	18
31	25	44	39
32	30	55	25
33	64	35	7
34	12	7	22
35	3	13	54
36	3	28	58
37	18	55	45
38	66	62	7
39	9	62	58
40	25	16	29
41	31	21	13
42	48	62	54
43	38	26	30
44	58	35	31
45	29	55	45
46	17	5	59
47	51	43	61
48	28	57	32
49	34	14	24
50	29	33	43
51	35	26	22
52	48	56	60
53	47	34	10
54	49	28	18
55	56	51	66
56	7	52	57
57	58	67	54
58	34	29	54
59	10	37	47
60	49	31	12
61	20	56	61
62	50	8	55
63	14	19	3
64	15	55	5
65	43	53	38
66	24	47	12
67	12	47	55
68	31	47	39
69	41	37	51
70	49	57	31
71	29	37	42
72	24	33	16
73	48	61	53
74	22	26	34
75	68	60	56
76	31	36	44
77	19	5	23
78	47	43	4
79	36	18	44
80	36	22	14
81	25	33	43
82	33	29	42
83	33	20	25
84	42	29	34
85	52	25	17
86	40	36	28
87	5	60	15
88	32	59	27
89	64	68	11
90	31	36	8
91	16	21	8
92	57	39	35
93	26	38	42
94	54	38	50
95	55	68	59
96	53	30	38
97	58	39	21
98	23	13	8
99	61	8	66
100	42	26	38
101	25	17	13
102	45	33	49
103	48	22	18
104	31	46	36
105	21	40	30
106	41	51	59
107	6	48	60
108	9	38	59
109	58	46	63
110	24	8	20
111	16	6176	46
112	59	55	43
113	63	9	49
114	22	30	14
115	51	39	62
116	56	36	41
117	46	58	50
118	46	38	11
119	17	9	27
120	11	57	49
121	40	35	48
122	38	29	33
123	32	16	24
124	61	39	20
125	12	20	55
126	64	44	54
127	58	62	6
128	18	23	31
129	13	60	3
130	53	13	61
131	59	7	21
132	27	31	43
133	55	3	11
134	33	47	55
135	60	41	25
136	35	31	43
137	47	16	51
138	36	46	31
139	14	30	22
140	29	18	45
141	22	36	12
142	7	19	23
143	25	17	9
144	42	34	29
145	23	10	15
146	50	185	46
147	28	46	36
148	52	48	64
149	35	43	31
150	30	12	34
151	17	12	28
152	60	18	26
153	52	57	40
154	11	15	25
155	10	58	50
156	66	58	53
157	48	17	13
158	24	55	3
159	50	64	5
160	44	24	40
161	32	6	20
162	7185	10	35
163	62	5	67
164	67	47	67
165	14	29	47
166	9	22	13
167	3	51	17
168	20	35	25
169	47	55	65
170	1163	41	45
171	15	7	42
172	14	28	41
173	55	22	32
174	61	66	6
175	36	31	20
176	20	38	30
177	28	36	63
178	3	13	21
179	13	42	28
180	19	27	15
181	25	40	20
182	45	41	57
183	29	11	3
184	111	24	16
185	28	6	18
186	39	22	35
187	36	20	28
188	40	35	48
189	23	36	28
190	52	62	44
191	13	21	8
192	35	59	55
193	36	40	24
194	57	30	13
195	38	23	33
196	24	28	38
197	46	38	28
198	29	24	18
199	50	59	42
200	29	20	16
201	33	38	20
202	27	22	14
203	9	63	54
204	22	30	14
205	45	29	37
206	47	7	30
207	27	19	14
208	51	21	5
209	30	38	15
210	12	57	47
211	47	35	55
212	26	34	16
213	40	30	22
214	11	3	28
215	20	38	10
216	18	55	47
217	24	43	16
218	34	53	48
219	13	29	5
220	20	7	15
221	8	20	25
222	3	33	41
223	24	42	38
224	49	41	16
225	56	60	8
226	47	55	42
227	45	53	40
228	58	50	67
229	45	50	13
230	23	31	7
231	61	13	17
232	29	9	21
233	64	56	51
234	25	52	11
235	13	53	63
236	18	40	35
237	45	32	50
238	39	43	53
239	30	22	38
240	6	58	46
241	37	33	45
242	41	22	45
243	23	13	37
244	12	20	53
245	36	31	44
246	61	53	39
247	41	33	58
248	23	56	35
249	10	22	27
250	40	44	53
251	16	43	35
252	14	46	51
253	41	59	7
254	52	57	29
255	15	19	29
256	58	66	54
257	29	24	12
258	29	5	21
259	18	48	26
260	57	45	61
261	26	16	34
262	44	16	32
263	57	44	49
264	32	16	36
265	59	11	34
266	20	28	12
267	60	64	53
268	44	12	30
269	61	28	53
270	14	24	40
271	39	47	27
272	60	5	56
273	45	37	55
274	9	13	25
275	11	55	63
276	66	62	50
277	31	15	11
278	48	52	60
279	61	21	3
280	48	44	58
281	58	9	62
282	231	39	13
283	37	49	45
284	8	47	43
285	17	3	61
286	57	52	65
287	15	10	62
288	1723	17	13
289	17	61	3
290	63	36	58
