
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	18	6	26
1	14175	7	3
2	5	25	17
3	17	7	25
4	16	5	40
5	6	24	16
6	17	5	25
7	24	14	4
8	5	15	25
9	25	15	5
10	24	5	19
11	3	8	5013
12	23	3	14
13	27	17	7
14	7	17	27
15	3	5994	3
16	25	16	6
17	5	17	25
18	5	17	25
19	20589	7	3
20	25	5	17
21	5	25	15
22	3	23	15
23	3	7312	3
24	429	417	450
25	13	23	3
26	17	27	7
27	15	3	23
28	25	17	5
29	3	15	23
30	3	13334	7
31	23	15	5
32	489	509	501
33	7	3	6207
34	3	15	23
35	17	7	25
36	15	3	23
37	5817	3	3
38	25	15	5
39	5	17	25
40	14	24	4
41	5	25	17
42	3	7	19507
43	25	5	17
44	4	23	14
45	3	3	13
46	15	23	3
47	25	7	17
48	7	17	25
49	15	5	25
50	17	25	5
51	4	14	24
52	25	17	7
53	23	3	15
54	23	3	15
55	3	21017	7
56	15	23	3
57	5	17	25
58	14	3	23
59	13	3	23
60	25	5	15
61	3	23	13
62	7	3	12621
63	27	7	19
64	25	17	7
65	25	15	5
66	5	25	15
67	16	5	25
68	15	3	23
69	13	3	23
70	17	7	27
71	5	25	17
72	17	27	7
73	17	5	25
74	15	5	25
75	26	16	6
76	3	33	13
77	15	3	23
78	17	25	5
79	3	3	19160
80	5	17	25
81	17	5	25
82	17184	7	3
83	17	25	5
84	20	5	32
85	3	13	23
86	5	27	17
87	24	16	4
88	15	25	5
89	5	23	15
90	15	23	3
91	5	25	17
92	16	24	4
93	3	15	23
94	5	15	25
95	15	5	25
96	5	17	25
97	3	23	15
98	17	25	5
99	3	13	23
100	15	25	5
101	27	17	7
102	23	3	15
103	5	25	15
104	14	23	4
105	13	23	3
106	8	3	11682
107	17	25	7
108	23	15	3
109	15	3	23
110	17	7	25
111	3	6499	3
112	15	25	5
113	23	3	15
114	15	3	23
115	25	15	5
116	3	23	15
117	17	7	25
118	5	25	15
119	25	7	17
120	15	5	25
121	14	3	23
122	5	17	25
123	25	17	7
124	23	3	15
125	3	23	15
126	3	14	23
127	15	23	3
128	22855	3	8
129	17	7	25
130	5	25	17
131	15	3	23
132	5	25	17
133	3	15	23
134	15	23	5
135	3	13	21
136	11	23	3
137	3	15	23
138	3	15	23
139	17	5	25
140	491	499	481
141	16	5	25
142	89	109	99
143	14	4	24
144	3	8494	3
145	17	5	25
146	3	23	15
147	23	15	5
148	25	17	7
149	5	25	17
150	3	3	16947
151	25	5	15
152	7	3	9912
153	23	3	15
154	5	25	15
155	7	3	3374
156	3	15834	7
157	5	16	25
158	5	17	25
159	25	15	5
160	3	9427	8
161	4	14	24
162	13	23	3
163	16	4	24
164	5	15	25
165	14	3	24
166	5	25	17
167	15	3	23
168	15146	3	7
169	15	25	5
170	3	23	14
171	3	3	14
172	5	25	17
173	3	23	15
174	15	25	5
175	16	4	24
176	6	16	26
177	3	15	25
178	23	15	3
179	3	23	15
180	15	5	25
181	25	15	5
182	14	24	4
183	23	3	15
184	3	18793	8
185	15	23	3
186	25	3	15
187	3	23	15
188	11	21	29
189	4	24	16
190	16	4	24
191	7	3	7588
192	15	3	23
193	15	23	3
194	23	13	3
195	3	8	11141
196	17	5	25
197	5	25	15
198	5	23	15
199	18712	3	2329
200	5	25	17
201	15	23	3
202	25	5	17
203	23	3	15
204	16	4	24
205	25	5	15
206	4	16	24
207	5	25	15
208	17	27	7
209	23	3	13
210	27	17	7
211	3	23	15
212	16	5	25
213	5	15	23
214	8060	7	3
215	25	15	5
216	4	24	14
217	3	7	8170
218	4	16	26
219	25	17	5
220	3	15282	8
221	5	25	17
222	6273	3	8
223	3	13	23
224	3	11132	8
225	3	13	23
226	3	15	23
227	27	7	17
228	5	17	25
229	5	17	36
230	3	16008	3
231	15	5	25
232	13	3	23
233	16839	3	7
234	25	15	5
235	3	5175	7
236	25	5	15
237	23	15	3
238	7	16125	3
239	16	5	25
240	15	25	5
241	7	27	19
242	5	25	17
243	3	15	23
244	23	15	3
245	24	35	44
246	23	15	5
247	7	25	17
248	25	17	5
249	23	15	5
250	25	5	17
251	16	6	24
252	15	23	5
253	15	3	23
254	15	25	5
255	13	23	3
256	3	23	15
257	25	5	17
258	15	3	23
259	3	13783	3
260	15	3	25
261	25	15	5
262	3	15	25
263	212	202	235
264	5	17	25
265	3	15	23
266	25	17	5
267	3	8434	3
268	3	15	23
269	3	14	23
270	3	18	8
271	3	23	15
272	25	17	5
273	3	18806	3
274	25	5	15
275	3	15	25
276	5	17	27
277	3	23	15
278	21	3	17
279	15	3	25
280	25	17	5
281	15	23	5
282	17	7	27
283	17	25	5
284	23	3	15
285	23	3	13
286	3	3198	7
287	15	3	23
288	25	15	5
289	25	17	5
290	3	23	15
291	3	15	23
292	5	25	16
293	5	25	15
294	16	6	26
295	15	3	23
296	15	23	3
297	5	15	25
298	23	13	3
299	25	5	17
300	3	23	15
301	23	15	3
302	3	15	23
303	5	25	16
304	3	15	23
305	25	16	5
306	5	25	17
307	23	3	15
308	15594	3	7
309	5	17	25
310	17	7	27
311	27	17	7
312	15	3	23
313	23	3	15
314	7	3	15626
315	23	3	15
316	25	5	17
317	25	5	17
318	5	25	17
319	25	17	5
320	13	3	23
321	27	7	17
322	15	3	23
323	14	23	3
324	3	15	23
325	24	16	4
326	5	15	25
327	17	5	25
328	17	5	25
329	5	25	15
330	3	23	15
331	23	3	15
332	25	17	7
333	24	16	4
334	17	25	5
335	23	3	15
336	25	15	5
337	26	16	6
338	23	3	15
339	24	16	4
340	23	15	3
341	25	17	7
342	5	17	25
343	3	23	15
344	17	5	27
345	5	25	17
346	23	13	3
347	24	33	14
348	3	15	23
349	5	2879	16
350	17	25	5
351	4	24	16
352	29	9	20
353	3	15	25
354	23	15	5
355	14	4	24
356	23	13	3
357	5	17	25
358	13	3	23
359	15	23	3
360	3	3	16683
361	17	27	7
362	13	3	23
363	8	18	3
364	4	16	24
365	5	15	25
366	7	17	25
367	5	15	25
368	25	5	17
369	7	3	2261
370	3	21261	8
371	337	368	349
372	17	5	25
373	17	7	27
374	17	5	25
375	23	15	3
376	25	5	17
377	15	25	7
378	15	5	25
379	23	13	3
380	3	7	2302
381	5	25	15
382	5	15	25
383	17	5	25
384	7	3	6731
385	2822	2830	2810
386	3	15	23
387	4	24	16
388	17	5	27
389	15	25	5
390	15	23	3
