
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	8	3	48609
1	31988	39961	18676
2	18479	33145	14495
3	11583	55452	19557
4	27482	24010	39967
5	43946	31984	12036
6	14382	2415	30338
7	27285	34699	10769
8	6140	14123	16999
9	8101	26406	50336
10	7527	47413	15501
11	32136	24528	12564
12	5	16	26
13	27884	27896	39849
14	46351	46361	14450
15	17988	17998	33945
16	13483	45390	13489
17	19593	3634	11616
18	10471	2883	46767
19	40586	699	24631
20	30280	32578	5
21	54532	27994	3245
22	11981	34362	34372
23	50762	10875	10863
24	11050	38968	17376
25	16	14106	4
26	7	18029	49941
27	14670	50561	22647
28	51724	11813	1344
29	14754	26719	18287
30	47717	30280	10319
31	33192	41177	25614
32	3	3356	18238
33	25208	45178	25220
34	4179	24125	9760
35	20883	3	9953
36	36965	21009	20997
37	25569	11160	1619
38	38963	9410	3054
39	29685	29675	13173
40	5	31537	11089
41	789	24712	8766
42	8315	28249	40211
43	4	20655	20645
44	3	30820	30810
45	3	31541	11601
46	46980	14630	39004
47	26280	2350	14983
48	22037	10893	38816
49	33478	1756	33468
50	39098	7191	63033
51	1692	17661	17649
52	10945	10968	50825
53	11287	10628	2646
54	40183	6693	24235
55	15342	840	850
56	9533	22230	7363
57	17703	25675	31146
58	34548	42533	42522
59	16836	24811	8864
60	4800	44685	20755
61	35392	27413	3485
62	17338	45266	5
63	38267	9845	46243
64	18650	26639	26628
65	17761	29721	37702
66	2398	20294	32038
67	4	8095	16
68	3	45294	7
69	8028	35947	27970
70	51480	15579	31530
71	16768	20983	816
72	45492	45482	17573
73	9824	14175	41733
74	34342	23648	23660
75	29147	5215	29159
76	21490	1550	28237
77	12705	5	27071
78	27992	27971	27946
79	47978	20052	120
80	15393	43314	15403
81	105	20048	8086
82	916	26232	26244
83	46834	10931	10943
84	13199	2817	37125
85	39110	27143	15181
86	12946	2579	20548
87	17	5	47021
88	27597	43543	12332
89	37591	1704	37603
90	25372	34496	25382
91	3624	3612	11805
92	31137	15181	47085
93	3468	35072	3480
94	7	22332	54231
95	3	25089	41042
96	36465	28485	12065
97	5545	3	5535
98	22883	21173	38212
99	4208	22833	7549
100	18883	46781	5463
101	42784	10880	30822
102	18731	17	5
103	43060	3181	53781
104	5	26833	10893
105	16398	24369	36333
106	3	36855	11211
107	49267	37304	7
108	18781	10228	620
109	overflow
