
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	401	343	324
1	514	444	436
2	721	658	650
3	425	362	354
4	391	326	318
5	940	879	869
6	167	97	89
7	121	56	48
8	625	560	550
9	907	842	832
10	619	551	541
11	137	69	59
12	710	645	636
13	72	5	997
14	597	534	524
15	580	513	505
16	953	892	882
17	581	514	505
18	703	636	626
19	835	765	757
20	833	765	757
21	942	910	934
22	961	898	889
23	908	840	830
24	146	77	67
25	138	75	65
26	522	459	451
27	277	209	201
28	700	632	624
29	271	208	198
30	198	133	125
31	311	248	238
32	858	795	785
33	380	315	307
34	326	257	249
35	255	190	182
36	914	903	923
37	307	240	232
38	615	550	542
39	613	546	536
40	121	58	50
41	620	557	547
42	82	17	9
43	882	819	809
44	277	212	204
45	986	917	907
46	808	740	730
47	470	405	397
48	417	354	344
49	616	553	543
50	348	279	271
51	622	559	549
52	927	864	854
53	297	229	219
54	725	654	646
55	446	382	372
56	585	520	512
57	253	184	176
58	430	365	357
59	209	144	136
60	3	946	938
61	12	952	944
62	362	291	282
63	657	592	584
64	205	140	132
65	622	559	551
66	690	627	617
67	659	594	586
68	755	692	682
69	155	90	82
70	305	240	232
71	29	970	960
72	274	206	198
73	273	210	202
74	265	204	194
75	634	563	554
76	651	583	573
77	506	441	433
78	851	786	778
79	757	692	684
80	131	66	57
81	828	765	757
82	308	238	228
83	987	924	916
84	870	807	797
85	653	590	580
86	40	982	972
87	783	720	710
88	533	470	460
89	378	313	305
90	278	215	205
91	648	584	574
92	442	377	369
93	424	355	345
94	211	148	140
95	924	859	851
96	770	716	716
97	432	369	359
98	986	917	909
99	582	517	509
100	898	828	820
101	166	103	93
102	836	771	762
103	720	655	646
104	397	329	321
105	802	733	725
106	758	695	685
107	371	308	298
108	534	469	461
109	588	525	517
110	253	188	180
111	311	250	240
112	562	497	489
113	493	430	420
114	631	568	560
115	395	332	322
116	844	774	764
117	154	86	78
118	277	208	200
119	676	611	603
120	826	765	755
121	33	972	964
122	674	624	601
123	474	453	484
124	231	161	153
125	205	142	132
126	979	908	900
127	330	265	257
128	33	973	965
129	57	998	988
130	142	78	68
131	903	840	830
132	927	862	854
133	445	377	369
134	310	245	237
135	1006	937	927
136	984	919	911
137	844	775	766
138	7	948	938
139	846	781	773
140	550	489	481
141	256	187	179
142	253	188	180
143	646	583	575
144	886	823	815
145	907	840	830
146	93	24	16
147	933	870	860
148	459	396	388
149	549	486	478
150	385	322	312
151	856	791	783
152	701	632	624
153	256	193	183
154	710	646	636
155	712	649	641
156	482	459	503
157	514	445	436
158	99	34	26
159	101	36	28
160	959	896	888
161	857	792	783
162	253	184	174
163	187	120	110
164	186	123	113
165	220	150	142
166	535	470	462
167	269	208	198
168	427	358	350
169	224	159	151
170	561	537	571
171	113	50	40
172	384	319	311
173	576	566	584
174	791	726	718
175	956	887	877
176	233	163	155
177	879	815	805
178	873	804	796
179	954	891	883
180	468	403	395
181	680	615	607
182	583	518	509
183	91	28	20
184	778	714	706
185	337	273	263
186	76	13	5
187	264	197	187
188	556	487	479
189	200	137	127
190	464	401	391
191	712	651	641
192	898	833	825
193	824	763	753
194	493	426	417
195	228	163	154
196	492	422	412
197	772	703	694
198	246	176	168
199	782	713	703
200	768	705	697
201	405	336	328
202	89	26	18
203	725	662	654
204	690	608	599
205	684	621	611
206	327	262	254
207	404	339	331
208	48	990	980
209	304	234	226
210	1004	941	933
211	847	780	772
212	591	573	577
213	626	561	553
214	607	545	535
215	294	227	219
216	325	257	249
217	550	487	479
218	419	354	346
219	360	290	280
220	710	645	637
221	771	708	700
222	467	397	389
223	297	232	224
224	148	81	71
225	785	716	706
226	399	336	327
227	391	324	314
228	363	298	290
229	523	458	450
230	754	686	676
231	368	298	288
232	770	707	699
233	144	79	71
234	354	291	281
235	637	574	564
236	760	690	682
237	390	328	320
238	243	176	166
239	175	110	102
240	35	976	966
241	941	872	864
242	837	767	757
243	238	173	164
244	977	912	903
245	388	319	311
246	521	452	444
247	318	255	247
248	1005	938	928
249	847	778	770
250	101	36	28
251	359	294	286
252	758	690	682
253	383	320	310
254	265	200	192
255	643	548	540
256	853	783	775
257	590	527	517
258	7	947	938
259	40	979	971
260	245	182	172
261	20	960	952
262	153	84	74
263	318	253	245
264	363	300	290
265	965	902	892
266	58	999	989
267	775	712	704
268	718	653	644
269	877	816	808
270	243	180	170
271	230	161	151
272	862	797	789
273	303	238	229
274	460	390	382
275	468	403	395
276	590	527	519
277	824	759	751
278	362	292	284
279	860	796	786
280	601	538	528
281	260	196	186
282	426	330	322
283	223	160	150
284	616	551	543
285	639	575	565
286	183	118	110
287	605	540	531
288	961	898	889
289	174	105	96
290	97	34	24
291	365	298	288
292	327	264	256
293	729	666	658
294	643	580	572
295	30	969	961
296	601	538	529
297	538	470	460
298	213	150	142
299	693	630	622
300	429	358	349
301	56	997	987
302	592	529	520
303	812	744	736
304	747	677	667
305	614	551	541
306	747	682	672
307	151	88	78
308	91	24	14
309	480	415	407
310	568	501	491
311	704	635	627
312	409	339	331
313	808	745	737
314	806	743	734
315	546	476	468
316	121	56	48
317	278	213	205
318	463	394	384
319	740	677	667
320	583	512	503
321	804	743	733
322	805	740	732
323	965	900	892
324	459	390	380
325	130	69	61
326	245	176	168
327	224	161	151
328	849	784	776
329	416	395	426
330	689	624	614
331	628	557	549
332	467	398	390
333	13	954	946
334	397	328	319
335	506	437	427
336	158	95	85
337	727	664	656
338	779	714	706
339	851	781	773
340	298	235	225
341	119	56	46
342	896	828	818
343	858	793	785
344	119	54	46
345	818	795	828
346	352	289	279
347	785	720	712
348	183	120	111
349	875	810	802
350	375	305	295
351	599	534	526
352	863	800	792
353	652	588	578
354	121	58	50
355	1002	937	929
356	102	32	22
357	358	294	284
358	706	641	631
359	617	553	545
360	256	191	183
361	896	831	823
362	266	198	188
363	53	995	985
364	731	663	655
365	937	872	864
366	372	309	301
367	537	472	464
368	143	80	72
369	399	330	320
370	337	274	266
371	389	324	316
372	982	919	911
373	449	384	376
374	316	247	237
375	69	4	997
376	330	267	257
377	127	63	53
378	669	605	597
379	981	911	903
380	7	948	938
381	710	647	639
382	427	363	355
383	184	115	107
384	890	826	818
385	298	229	220
386	165	98	88
387	884	821	813
388	356	291	283
389	622	557	549
390	63	1003	995
391	41	18	49
392	637	572	564
393	457	392	384
394	703	634	626
395	497	428	420
396	502	437	429
397	766	701	691
398	574	504	496
399	432	369	359
400	956	893	883
401	680	615	607
402	303	238	230
403	459	396	386
404	762	699	689
405	852	789	779
406	249	186	176
407	792	727	719
408	924	859	849
409	350	285	277
410	485	422	414
411	232	167	159
412	215	150	142
413	198	129	119
414	52	993	983
415	352	289	279
416	155	121	165
417	371	306	297
418	672	609	599
419	515	450	442
420	963	900	892
421	222	161	151
422	666	598	588
423	95	32	22
424	859	790	780
425	958	889	881
426	649	580	570
427	319	249	241
428	537	474	466
429	699	634	626
430	44	986	978
431	174	105	95
432	367	304	294
433	393	324	316
434	624	560	552
435	427	362	354
436	226	163	153
437	152	84	74
438	1004	943	934
439	877	815	805
440	40	982	972
441	870	801	791
442	258	195	185
443	773	708	700
444	607	544	535
445	331	268	258
446	461	392	382
447	660	596	586
448	895	830	822
449	380	317	307
450	52	992	983
451	466	401	393
452	826	761	753
453	986	919	909
454	959	896	888
455	799	730	721
456	645	576	568
457	328	258	248
458	590	521	511
459	968	905	897
460	150	86	78
461	233	163	153
462	687	624	616
463	305	241	233
464	62	1003	993
465	652	583	573
466	52	993	985
467	56	997	989
468	591	528	520
469	577	514	504
470	663	598	590
471	423	360	350
472	236	213	244
473	290	227	217
474	781	718	710
475	948	885	875
476	934	865	857
477	425	362	354
478	354	283	275
479	404	357	381
480	352	287	279
481	12	951	943
482	211	148	138
483	365	304	294
484	645	578	569
485	346	283	273
486	600	577	608
487	472	407	399
488	178	114	104
489	989	930	920
490	728	662	654
491	780	712	702
492	738	673	665
493	511	448	438
494	662	593	583
495	61	1002	994
496	582	517	509
497	408	332	323
498	566	496	486
499	563	500	490
500	465	402	392
501	624	559	551
502	206	138	128
503	954	891	881
504	53	995	985
505	706	641	633
506	924	859	851
507	179	114	104
508	279	216	206
509	7	946	938
510	347	279	271
511	546	483	475
512	723	660	650
513	982	913	905
514	663	600	592
515	680	615	607
516	91	26	18
517	463	396	388
518	369	304	296
519	500	435	427
520	406	341	333
521	571	508	500
522	51	991	983
523	284	219	211
524	21	963	954
525	195	126	118
526	772	749	782
527	49	1206	1229
528	144	77	67
529	839	801	808
530	543	480	470
531	237	172	164
532	803	740	730
533	636	573	563
534	226	161	153
535	871	808	800
536	558	459	449
537	318	257	247
538	602	532	522
539	427	362	354
540	113	50	42
541	893	823	813
542	1003	939	931
543	312	249	239
544	512	445	435
545	804	739	731
546	402	337	329
547	366	296	286
548	742	679	669
549	464	401	393
550	813	750	740
551	187	116	108
552	566	501	493
553	408	345	337
554	917	849	841
555	337	272	264
556	283	215	207
557	1006	943	935
558	717	654	644
559	349	280	272
560	453	390	380
561	612	547	537
562	999	932	924
563	991	926	918
564	680	672	662
565	824	761	753
566	936	871	863
567	920	853	845
568	517	454	444
569	547	482	474
570	123	58	50
571	689	620	612
572	564	504	496
573	249	185	175
574	257	192	182
575	709	699	686
576	583	515	505
577	253	183	175
578	839	774	766
579	22	963	953
580	405	382	413
581	358	293	284
582	875	812	804
583	335	266	256
584	363	300	292
585	892	827	819
586	843	780	770
587	72	5	999
588	80	16	6
589	177	114	106
590	431	408	441
591	345	277	267
592	170	105	97
593	972	911	901
594	984	921	911
595	12	952	942
596	960	890	882
597	793	723	713
598	657	592	584
599	241	178	168
600	256	193	185
601	802	737	729
602	162	97	89
603	638	566	558
604	519	454	446
605	70	5	997
606	86	21	13
607	856	793	783
608	293	228	220
609	749	686	678
610	345	276	266
611	827	757	749
612	136	71	63
613	969	902	894
614	12	952	944
615	216	146	138
616	701	640	630
617	52	991	983
618	787	724	716
619	4	944	936
620	911	841	833
621	543	480	472
622	405	335	327
623	126	56	46
624	131	67	59
625	840	777	767
626	31	970	962
627	929	866	856
628	639	572	562
629	617	547	539
630	244	179	171
631	890	825	817
632	568	504	496
633	14	953	945
634	633	568	560
635	466	397	387
636	796	733	725
637	629	564	554
638	417	352	344
639	322	253	243
640	348	283	275
641	818	748	740
642	631	568	560
643	555	488	478
644	297	234	224
645	363	298	289
646	50	989	981
647	528	465	457
648	1006	941	933
649	1155	1122	1147
650	22	962	953
651	866	798	790
652	599	534	526
653	980	915	905
654	223	153	145
655	880	817	807
656	755	688	678
657	785	722	714
658	781	718	708
659	418	349	339
660	571	548	580
661	1001	936	928
662	354	291	281
663	429	364	355
664	448	379	370
665	429	360	351
666	234	171	161
667	67	27	35
668	346	279	271
669	860	795	787
670	986	917	909
671	924	859	851
672	33	972	962
673	161	100	90
674	397	334	324
675	397	333	325
676	56	995	987
677	189	124	116
678	614	545	537
679	32	852	22
680	995	930	922
681	631	566	558
682	954	885	877
683	855	785	777
684	406	341	333
685	209	144	136
686	314	251	243
687	235	181	173
688	930	860	852
689	181	118	108
690	410	345	337
691	423	358	350
692	863	798	790
693	138	75	67
694	173	103	95
695	926	863	855
696	268	199	191
697	134	69	61
698	113	89	121
699	546	483	473
700	704	641	631
701	783	720	710
702	182	114	104
703	932	862	854
704	653	590	582
705	864	795	785
706	288	223	215
707	943	920	951
708	375	306	296
709	788	744	717
710	274	205	196
711	223	160	150
712	535	470	462
713	902	833	824
714	37	976	968
715	477	412	404
716	294	229	221
717	1004	939	931
718	759	691	683
719	787	722	713
720	985	922	914
721	821	798	843
722	601	538	528
723	900	837	827
724	1008	941	933
725	997	930	920
726	411	343	333
727	939	870	862
728	78	13	5
729	413	350	342
730	80	17	7
731	877	813	803
732	521	458	449
733	637	570	562
734	564	499	491
735	101	36	28
736	431	371	363
737	558	493	485
738	896	831	823
739	363	300	290
740	219	156	146
741	877	814	802
742	781	718	710
743	331	266	258
744	886	821	813
745	235	172	164
746	95	32	24
747	500	435	427
748	159	95	87
749	578	515	505
750	131	64	54
751	550	487	479
752	918	855	847
753	877	814	806
754	547	484	474
755	712	647	639
756	1008	913	905
757	53	993	983
758	83	20	12
759	155	92	84
