
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	643	685	677
1	42	22	34
2	7	17	27
3	33	21	41
4	547	580	559
5	24	12	32
6	34	14	24
7	19	27	3
8	24	4	16
9	18	28	6
10	16	36	28
11	22	32	42
12	18	38	28
13	11	29	21
14	38	30	18
15	3	23	14
16	3	23	15
17	10	28	20
18	30	3	20
19	20	30	3
20	25	5	15
21	31	21	9
22	20	10	41
23	9	19	29
24	22	10	30
25	24	14	32
26	36	18	28
27	15	25	35
28	29	19	7
29	20	32	40
30	44	34	24
31	11	21	31
32	3	33	15
33	3	27	17
34	32	20	40
35	30	20	8
36	16	35	26
37	36	28	16
38	5	26	16
39	27	17	3
40	548	558	622
41	31	13	23
42	36	5	26
43	7	21	31
44	28	18	4
45	8	36	20
46	25	17	7
47	7	21	31
48	7	19	30
49	14	24	34
50	7	25	17
51	25	13	33
52	21	29	11
53	11	29	21
54	31	21	9
55	5	18	28
56	22	34	42
57	30	3	20
58	33	15	3
59	3	39	23
60	27	3	17
61	11	31	23
62	18	28	38
63	36	24	7
64	6	18	28
65	22	32	42
66	24	34	44
67	20	30	38
68	11	22	31
69	18	26	5
70	11	23	31
71	26	14	34
72	37	7	25
73	18	38	28
74	3	13	23
75	10	28	20
76	7	21	31
77	25	15	35
78	18	38	30
79	25	35	43
80	18	26	5
81	21	31	7
82	25	5	17
83	12	30	22
84	7	27	19
85	28	38	18
86	19	27	5
87	20	30	7
88	16	26	36
89	15	25	35
90	17	25	7
91	54	70	40
92	27	79	39
93	8	28	18
94	38	30	18
95	28	46	38
96	8	36	26
97	27	15	3
98	19	9	27
99	16	5	28
100	28	18	40
101	36	26	7
102	20	10	29
103	30	6	20
104	17	29	5
105	16	36	26
106	6	18	34
107	7	17	27
108	18	7	30
109	17	33	3
110	20	30	38
111	32	24	14
112	14	34	24
113	16	26	3
114	9	29	21
115	30	20	7
116	26	4	16
117	19	27	5
118	38	30	18
119	28	16	36
120	8	30	20
121	19	29	5
122	21	31	41
123	36	28	16
124	19	29	5
125	9	21	32
126	2036	2044	2024
127	34	26	16
128	23	4	14
129	7	17	27
130	31	21	5
