Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	7073	3	1799
1	5284	5	10558
2	13165	7887	18437
3	25493	20214	30769
4	5283	6	10558
5	13980	19274	24551
6	16028	10752	5475
7	9580	4304	14853
8	31006	25724	36281
9	32348	37614	27072
10	27093	32366	21815
11	5284	10558	7
12	31676	21115	26396
13	34489	23924	29209
14	7	10566	5289
15	11229	21786	16510
16	20030	30583	25309
17	16106	10828	5545
18	32465	21901	27190
19	16986	22262	11707
20	9	5292	10566
21	22445	27719	32989
22	17615	22902	28181
23	59174	53889	64450
24	18094	23362	12815
25	16402	11136	5862
26	10558	5282	8
27	21578	26859	16296
28	16030	21310	10745
29	14345	24898	19624
30	5287	10558	9
31	18592	29143	23871
32	53424	48152	42876
33	35414	30138	40688
34	3	10550	5278
35	35291	30019	24741
36	14784	20063	25335
37	17292	27840	22570
38	28361	17815	23091
39	7441	18000	12724
40	10770	16046	5480
41	29549	24264	34825
42	19025	13746	8463
43	17900	12625	7342
44	5293	7	10572
45	848	6131	11409
46	27789	22510	33069
47	3	5286	10562
48	overflow

