Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	3	8431	3152
1	5287	9	10563
2	6	10564	5286
3	10564	3	5288
4	5282	10560	5
5	9	5285	10560
6	5286	10558	9
7	10561	5289	8
8	10557	7	5285
9	6	10563	5286
10	10564	5286	5
11	10	5287	10560
12	5289	11	10566
13	10560	5286	11
14	10556	5282	3
15	10564	5286	7
16	5301	14	10584
17	5299	10582	9
18	6	10586	5298
19	10584	5297	10
20	5297	7	10582
21	7	5295	10580
22	5293	6	10574
23	10576	5295	8
24	9	5297	10582
25	9	10584	5299
26	4	10572	5293
27	7	5301	10585
28	5299	10582	11
29	5294	9	10576
30	5290	10575	3
31	10581	10	5298
32	10591	16	5306
33	3	5294	10579
34	5290	10567	3
35	5284	4	10559
36	10574	9	5295
37	10568	5290	11
38	5296	10583	9
39	10586	9	5301
40	10575	5295	8
41	5295	8	10578
42	5301	10583	9
43	5290	3	10575
44	5296	7	10585
45	10587	3	5295
46	10592	5309	14
47	3	10583	5294
48	5303	10588	9
49	5291	5	10575
50	8	10592	5301
51	5	10584	5294
52	5311	23	10592
53	10579	6	5293
54	5295	10576	9
55	3	5291	10576
56	5295	9	10580
57	10578	5295	10
58	10573	3	5290
59	5290	10573	3
60	10576	3	5293
61	5296	10	10583
62	5292	5	10579
63	10581	5	5296
64	10577	8	5296
65	10581	5296	7
66	25	10603	5318
67	10579	8	5294
68	5	10589	5299
69	5292	4	10579
70	7	10582	5297
71	5	5300	10586
72	10586	9	5301
73	11	5304	10591
74	5	10587	5298
75	7	10569	5289
76	10590	9	5301
77	5295	10580	7
78	7	5290	10568
79	10593	8	5300
80	9	5301	10592
81	10586	5299	8
82	10586	5299	7
83	10565	7	5292
84	8	10568	5288
85	10554	7	5284
86	9	10568	5291
87	5281	10551	3
88	5283	9	10555
89	13	10558	5288
90	5279	3	10549
91	5	10556	5284
92	10573	5	5290
93	24	10591	5308
94	3	5289	10571
95	5290	7	10571
96	10580	5297	8
97	5286	10568	5
98	10554	5284	6
99	10583	20	5305
100	5293	9	10574
101	10573	6	5295
