Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	399	5682	10958
1	803	6086	11362
2	681	5959	11233
3	798	6081	11360
4	192	5474	10749
5	961	6241	11505
6	123	5395	10665
7	460	5736	11010
8	260	5541	10811
9	798	6074	11348
10	308	5589	10861
11	280	5558	10831
12	275	5560	10837
13	538	5815	11087
14	387	5667	10940
15	286	5564	10834
16	610	5890	11163
17	65	5346	10620
18	474	5751	11027
19	369	5648	10926
20	568	5845	11117
21	391	5672	10949
22	917	6198	11473
23	432	5702	10967
24	695	5975	11245
25	10582	34	5312
26	953	6238	11514
27	237	5515	10785
28	633	5910	11184
29	340	5620	10890
30	541	5821	11093
31	1004	6282	11553
32	747	6023	11293
33	329	5609	10884
34	27	5307	10578
35	61	5337	10610
36	337	5614	10884
37	957	6224	11486
38	252	5530	10803
39	10560	5	5286
40	744	6023	11301
41	607	5882	11156
42	205	5479	10747
43	395	5669	10939
44	10561	11	5289
45	668	5946	11220
46	744	6021	11297
47	625	5904	11180
48	350	5629	10905
49	93	5374	10651
50	288	5565	10839
51	233	5505	10770
52	794	6072	11347
53	567	5850	11128
54	913	6200	11477
55	671	5954	11229
56	241	5521	10796
57	993	6275	11550
58	588	5869	11145
59	6	5283	10559
60	102	5381	10655
61	458	5736	11010
62	438	5719	11000
63	604	5886	11161
64	609	5888	11158
65	592	5872	11147
66	121	5400	10678
67	438	5720	10997
68	577	5858	11132
69	178	5459	10738
70	751	6034	11315
71	588	5870	11142
72	592	5870	11143
73	284	5566	10836
74	980	6265	11541
75	389	5669	10944
76	463	5740	11012
77	528	5808	11079
78	425	5704	10978
79	10565	9	5290
80	389	5668	10944
81	950	6226	11501
82	38	5312	10576
83	434	5714	10989
84	962	6243	11517
85	190	5471	10745
86	273	5550	10828
87	525	5797	11065
88	247	5523	10791
89	326	5602	10875
90	365	5646	10920
91	196	5474	10742
92	291	5563	10835
93	120	5395	10673
94	27	5303	10573
95	1016	6289	11561
96	436	5711	10985
97	826	6105	11381
98	800	6080	11355
99	507	5787	11064
100	943	6222	11494
101	221	5500	10783
102	929	6210	11482
103	575	5850	11122
104	575	5847	11119
105	594	5866	11134
106	530	5809	11081
107	731	6005	11275
108	127	5400	10670
109	128	5406	10678
110	935	6207	11475
111	380	5652	10918
112	250	5526	10798
113	886	6164	11436
114	852	6119	11381
115	378	5659	10931
116	665	5948	11222
117	522	5802	11073
118	8	5288	10562
119	199	5475	10745
120	528	5810	11082
121	716	5991	11263
122	715	5993	11265
123	914	6192	11464
124	403	5675	10943
125	954	6230	11503
126	867	6147	11422
127	301	5577	10850
128	1017	6293	11566
129	796	6073	11345
130	226	5504	10778
131	533	5816	11088
