Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	788	6068	11345
1	237	5513	10787
2	84	5357	10627
3	314	5588	10858
4	65	5341	10611
5	830	6104	11374
6	5307	10577	33
7	449	5723	10994
8	256	5532	10802
9	205	5479	10745
10	495	5761	11016
11	134	5396	10655
12	132	5400	10661
13	456	5732	11004
14	798	6077	11353
15	943	6220	11494
16	332	5613	10885
17	130	5410	10680
18	804	6083	11355
19	895	6175	11448
20	498	5777	11053
21	263	5539	10811
22	29	5306	10576
23	921	6199	11469
24	386	5663	10939
25	695	5972	11244
26	933	6214	11486
27	117	5389	10657
28	266	5543	10815
29	378	5650	10916
30	331	5607	10879
31	813	6091	11359
32	787	6062	11330
33	333	5607	10873
34	390	5665	10937
35	91	5363	10641
36	88	5361	10630
37	131	5410	10680
38	693	5965	11237
39	473	5741	11004
40	113	5385	10659
41	612	5880	11139
42	99	5373	10644
43	272	5553	10827
44	515	5794	11070
45	428	5702	10970
46	727	5999	11267
47	121	5396	10663
48	873	6149	11419
49	562	5836	11104
50	926	6203	11471
51	834	6106	11374
52	213	5489	10755
53	768	6042	11316
54	119	5393	10663
55	76	5348	10618
56	952	6226	11492
57	796	6070	11340
58	282	5556	10824
59	533	5809	11081
60	766	6042	11312
61	320	5592	10862
62	1038	6314	11584
63	458	5734	11004
64	678	5956	11228
65	682	5962	11232
66	400	5680	10952
67	984	6272	11542
68	983	6259	11531
69	682	5962	11235
70	476	5749	11023
71	122	5403	10673
72	470	5751	11025
73	597	5877	11156
74	18	5293	10563
75	375	5650	10922
76	511	5788	11058
77	37	5314	10584
78	838	6113	11385
79	672	5950	11224
80	174	5446	10718
81	444	5717	10991
82	657	5927	11193
83	207	5479	10747
84	273	5548	10817
85	360	5635	10903
86	811	6075	11338
87	858	6133	11400
88	207	5494	10762
89	391	5672	10949
90	749	6028	11306
91	500	5777	11049
92	980	6256	11526
93	134	5410	10684
94	598	5879	11151
95	309	5588	10855
96	81	5351	10618
97	223	5504	10780
98	333	5616	10896
99	472	5753	11029
100	663	5946	11212
101	646	5925	11197
102	293	5578	10854
103	1021	6298	11572
104	483	5761	11035
105	567	5843	11118
106	342	5618	10890
107	77	5358	10630
108	672	5952	11227
109	451	5728	11000
110	132	5410	10684
111	451	5729	11001
112	140	5415	10689
113	95	5378	10652
114	806	6085	11355
115	91	5368	10642
116	858	6138	11410
117	770	6045	11317
118	361	5636	10908
119	445	5726	10998
120	701	5976	11248
121	722	5995	11262
122	885	6160	11427
123	435	5708	10977
124	988	6261	11530
125	433	5708	10980
126	93	5367	10637
127	344	5616	10884
128	164	5438	10704
129	421	5695	10961
130	939	6213	11483
131	924	6198	11466
132	575	5849	11117
133	944	6222	11492
134	924	6198	11468
135	969	6242	11501
136	432	5706	10974
137	91	5361	10629
138	723	6000	11272
139	125	5402	10670
140	873	6158	11426
141	151	5419	10681
142	731	6006	11276
143	485	5758	11030
144	5279	10543	3
145	628	5900	11168
146	661	5931	11198
147	460	5732	11000
148	826	6100	11370
149	50	5324	10592
150	194	5469	10739
151	768	6050	11321
152	5277	10547	5
153	290	5567	10839
154	151	5425	10687
155	618	5892	11162
156	330	5603	10873
157	781	6053	11315
158	929	6203	11471
159	1040	6316	11586
160	292	5570	10840
161	507	5786	11056
162	864	6139	11409
163	288	5564	10834
164	360	5637	10909
165	543	5824	11094
166	346	5612	10875
167	702	5972	11236
168	752	6022	11284
169	10540	5	5278
170	380	5659	10933
171	699	5976	11257
172	848	6133	11409
173	493	5776	11050
174	536	5817	11087
175	935	6214	11486
176	1029	6306	11574
177	78	5358	10630
178	508	5783	11057
179	60	5337	10609
180	112	5388	10652
181	247	5515	10776
182	620	5899	11173
183	959	6237	11511
184	834	6115	11393
185	421	5697	10967
186	451	5729	11001
187	722	5999	11269
188	233	5513	10785
189	511	5789	11059
190	641	5914	11188
191	397	5672	10944
192	264	5543	10817
193	331	5605	10875
194	74	5348	10624
195	575	5850	11126
196	305	5584	10856
197	804	6087	11359
198	1021	6296	11566
199	5301	10571	23
200	131	5405	10680
201	44	5320	10591
202	162	5443	10713
203	885	6164	11434
204	55	5333	10604
205	995	6278	11550
206	633	5907	11177
207	996	6270	11538
208	438	5712	10980
209	648	5910	11169
210	738	6010	11280
211	786	6060	11332
212	105	5376	10646
213	426	5700	10970
214	507	5783	11055
215	587	5866	11142
216	720	5999	11278
217	532	5812	11085
218	676	5956	11229
219	48	5326	10600
220	355	5633	10906
221	881	6156	11424
222	901	6173	11445
223	280	5561	10835
224	256	5534	10805
225	402	5676	10946
226	453	5730	11002
227	335	5614	10884
228	708	5984	11258
229	140	5417	10687
230	504	5781	11053
231	684	5963	11240
232	822	6100	11370
233	16	5291	10561
234	923	6199	11473
235	449	5729	11002
236	359	5643	10914
237	554	5832	11103
238	292	5575	10843
239	158	5436	10706
240	736	6013	11287
241	837	6116	11388
242	141	5421	10691
243	671	5946	11218
244	561	5839	11107
245	734	6001	11265
246	269	5543	10817
247	793	6070	11340
248	395	5672	10948
249	885	6156	11423
250	776	6053	11323
251	470	5742	11008
252	172	5442	10710
253	590	5865	11131
254	220	5486	10753
255	164	5438	10706
256	616	5888	11160
257	459	5732	10999
258	74	5346	10618
259	406	5680	10948
260	307	5578	10847
261	126	5406	10676
262	727	6003	11271
263	773	6047	11317
264	584	5862	11134
265	20	5304	10576
266	513	5780	11044
267	654	5909	11158
268	361	5635	10907
