Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	1678	3	6955
1	905	11473	6192
2	5672	10948	391
3	608	11171	5891
4	177	10743	5462
5	6122	11402	839
6	804	11372	6091
7	6015	11298	725
8	5292	10571	9
9	5875	11155	590
10	177	10742	5464
11	5543	10820	256
12	6267	11548	982
13	802	11366	6085
14	5294	10575	5
15	5601	10877	320
16	6261	11546	978
17	612	11178	5897
18	125	10691	5410
19	5833	11115	550
20	5383	10653	108
21	663	11226	5946
22	2827	13401	8121
23	5585	10866	305
24	6027	11303	742
25	380	10948	5665
26	5305	10582	16
27	5834	11109	547
28	445	11012	5734
29	5718	10999	427
30	515	11087	5806
31	5836	11119	547
32	5415	10693	130
33	5588	10867	307
34	51	10601	5331
35	147	10717	5436
36	6005	11282	725
37	5896	11175	615
38	22	10587	5304
39	114	10682	5401
40	82	10656	5372
41	5507	10790	218
42	886	11456	6173
43	6201	11484	910
44	5939	11218	646
45	6141	11421	854
46	738	11306	6023
47	854	11415	6137
48	901	11466	6188
49	5307	29	10585
50	5802	11081	513
51	5933	11214	648
52	5291	14	10570
53	5447	10730	164
54	5885	11164	594
55	802	11365	6087
56	5340	10620	57
57	616	11188	5905
58	6295	11576	1008
59	5637	10916	355
60	845	11413	6132
61	5293	11	10573
62	121	10685	5406
63	6220	11498	938
64	5348	10632	63
65	5695	10974	410
66	3211	13781	8500
67	230	10798	5517
68	5303	10584	16
69	5965	11245	677
70	5695	10978	410
71	5312	29	10597
72	9207	14490	3918
73	380	10948	5667
74	6229	944	11511
75	6081	800	11363
76	5838	11123	549
77	10900	5621	338
78	5376	10656	89
79	11029	466	5751
80	613	11188	5903
81	5988	705	11269
82	540	11089	5815
83	10912	5634	349
84	11266	5985	696
85	11496	6213	926
86	403	5692	10975
87	11239	671	5956
88	6253	972	11531
89	6166	11449	879
90	11033	5757	474
91	10927	380	5661
92	10706	144	5429
93	104	5384	10663
94	11481	927	6209
95	168	10732	5453
96	55	10620	5340
97	730	11302	6021
98	5333	50	10611
99	11122	5846	558
100	97	10670	5387
101	31	10599	5316
102	11416	858	6139
103	5579	10854	292
104	10789	5506	217
105	10579	14	5300
106	5530	239	10809
107	10776	221	5500
108	5618	10899	335
109	125	5406	10682
110	6096	817	11370
111	11095	536	5817
112	6325	1034	11604
113	5408	127	10686
114	10707	5428	151
115	6002	721	11278
116	629	11190	5914
117	1023	6308	11588
118	11215	5937	656
119	10691	5417	130
120	5569	10847	284
121	5305	20	10584
122	858	11421	6141
123	5464	10741	183
124	10628	69	5350
125	6096	816	11377
126	746	11303	6027
127	702	5983	11263
128	102	10672	5391
129	10770	203	5490
130	448	5733	11010
131	5385	10653	106
132	897	11460	6181
133	5724	11004	438
134	48	5333	10610
135	794	11354	6075
136	481	11051	5770
137	11261	689	5980
138	995	6283	11566
139	6051	762	11334
140	830	11400	6117
141	5483	191	10768
142	427	5874	11170
143	752	6042	11325
144	10738	5456	168
145	10873	299	5591
146	145	10719	5438
147	245	5532	10813
148	63	10631	5350
149	5921	11203	634
150	5897	610	11179
151	279	10847	5565
152	11254	5976	689
153	5723	438	11003
154	13394	8113	2823
155	5398	10680	112
156	901	11473	6188
157	5919	11199	633
158	6012	721	11295
159	547	5828	11103
160	10588	5304	12
161	10576	11	5294
162	11040	5755	468
163	11424	860	6141
164	5698	10985	404
165	389	5680	10961
166	586	5877	11156
167	219	10789	5505
168	5534	243	10817
169	6038	11321	749
170	753	6045	11328
171	434	11013	5724
172	6263	11544	978
173	5474	189	10759
174	11175	605	5892
175	5524	10809	239
176	506	5793	11074
177	5505	10786	215
178	382	5671	10954
179	11559	989	6276
180	11110	543	5830
181	163	5457	10744
182	806	11381	6100
183	5705	10984	418
184	6228	11503	945
185	11109	5831	544
186	36	10614	5327
187	573	11140	5860
188	820	6105	11390
189	757	11325	6042
190	431	5720	11003
191	6025	11306	738
192	5571	10856	276
193	10880	5595	306
194	11552	6275	988
195	6273	11548	988
196	5476	10761	183
197	10788	5505	221
198	5681	10965	387
199	11261	691	5978
200	11572	1006	6293
201	6175	897	11446
202	5779	11064	489
203	11458	6175	884
204	6046	11329	757
205	10607	5326	39
206	5854	568	11134
207	11293	6015	730
208	5873	584	11152
209	11431	863	6150
210	6126	837	11405
211	11107	5828	543
212	11382	6101	821
213	11420	6139	854
214	674	11246	5965
215	585	11151	5875
216	11121	5839	552
217	293	10863	5580
218	11460	890	6179
219	11602	6319	1030
220	892	6175	11456
221	950	11514	6238
222	11102	5821	532
223	11104	536	5823
224	5408	10687	128
225	6222	11505	931
226	5656	10939	375
227	504	11074	5793
228	5843	11128	558
229	11132	562	5852
230	5509	10790	222
231	5991	11274	704
232	5973	11254	688
233	10965	400	5687
234	10973	5693	405
235	504	5795	11080
236	5843	560	11124
237	11038	459	5751
238	6150	11435	860
239	5857	573	11142
240	10809	86	5371
241	5957	666	11238
242	5914	11195	629
243	163	5455	10738
244	11291	725	6012
245	11254	5976	690
246	11411	851	6136
247	5873	11153	590
248	6061	11336	776
249	5391	111	10672
250	5367	10644	84
251	55	10601	5331
252	6106	826	11383
253	11156	595	5880
254	978	11541	6261
255	5331	10599	55
256	6139	11417	854
257	5830	547	11110
258	10737	5459	178
259	11365	6087	804
260	11217	653	5938
261	10575	5297	12
262	37	10605	5324
263	6091	11363	808
264	513	11065	5793
265	650	11211	5933
266	5284	7	10556
267	5530	10811	243
268	11263	5984	697
269	5444	161	10723
270	10616	54	5335
271	5601	10882	314
272	787	11353	6075
273	5523	234	10806
274	73	10637	5358
275	6079	794	11362
276	10843	5562	273
277	10644	5369	91
278	6000	11282	712
279	466	5753	11032
280	10751	187	5473
281	11212	648	5931
282	228	10791	5513
283	6154	871	11437
284	5666	381	10946
285	5673	384	10952
286	1001	6289	11574
287	5974	11259	687
288	6309	11591	1026
289	5809	524	11092
290	11081	5794	503
291	324	10909	5618
292	991	6276	11557
293	11019	5741	454
294	6072	785	11353
295	303	10869	5594
296	10682	5402	117
297	11372	6095	806
298	971	11541	6258
299	563	11128	5848
300	685	5968	11250
301	11319	6039	753
302	948	6235	11516
303	5426	141	10708
304	6160	873	11443
305	11254	5973	686
306	10768	5486	199
